"","year","employment","edu","sum_number"
"525",2011,"Nonfarm animal caretakers","hs-college",64.44
"526",2011,"Nurse anesthetists","college+",29.91
"527",2011,"Nurse anesthetists","hs-",0.26
"528",2011,"Nurse anesthetists","hs-college",2.84
"529",2011,"Occupational therapists","college+",101.24
"530",2011,"Occupational therapists","hs-",0.45
"531",2011,"Occupational therapists","hs-college",10.3
"532",2011,"Office clerks, general","college+",207.96
"533",2011,"Office clerks, general","hs-",368.16
"534",2011,"Office clerks, general","hs-college",484.88
"535",2011,"Office machine operators, except computer","college+",6.12
"536",2011,"Office machine operators, except computer","hs-",20.39
"537",2011,"Office machine operators, except computer","hs-college",18.45
"538",2011,"Operations research analysts","college+",81.67
"539",2011,"Operations research analysts","hs-",6.73
"540",2011,"Operations research analysts","hs-college",27.49
"541",2011,"Opticians, dispensing","college+",8.77
"542",2011,"Opticians, dispensing","hs-",15.35
"543",2011,"Opticians, dispensing","hs-college",26.87
"544",2011,"Optometrists","college+",27.83
"545",2011,"Optometrists","hs-",0.03
"546",2011,"Optometrists","hs-college",0.17
"547",2011,"Packaging and filling machine operators and tenders","college+",12.1
"548",2011,"Packaging and filling machine operators and tenders","hs-",223.78
"549",2011,"Packaging and filling machine operators and tenders","hs-college",52.13
"550",2011,"Paralegals and legal assistants","college+",171.3
"551",2011,"Paralegals and legal assistants","hs-",49.69
"552",2011,"Paralegals and legal assistants","hs-college",182.61
"553",2011,"Parking lot attendants","college+",9.2
"554",2011,"Parking lot attendants","hs-",38.84
"555",2011,"Parking lot attendants","hs-college",24.96
"556",2011,"Paving, surfacing, and tamping equipment operators","college+",0.29
"557",2011,"Paving, surfacing, and tamping equipment operators","hs-",17.3
"558",2011,"Paving, surfacing, and tamping equipment operators","hs-college",3.4
"559",2011,"Payroll and timekeeping clerks","college+",31.93
"560",2011,"Payroll and timekeeping clerks","hs-",49.22
"561",2011,"Payroll and timekeeping clerks","hs-college",86.86
"562",2011,"Personal care aides","college+",123.68
"563",2011,"Personal care aides","hs-",566.55
"564",2011,"Personal care aides","hs-college",365.72
"565",2011,"Personal care and service workers, all other","college+",22.46
"566",2011,"Personal care and service workers, all other","hs-",43.57
"567",2011,"Personal care and service workers, all other","hs-college",38.85
"568",2011,"Pest control workers","college+",7.19
"569",2011,"Pest control workers","hs-",37.43
"570",2011,"Pest control workers","hs-college",30.38
"571",2011,"Pharmacists","college+",268.79
"572",2011,"Pharmacists","hs-",0.82
"573",2011,"Pharmacists","hs-college",4.39
"574",2011,"Photographers","college+",70.29
"575",2011,"Photographers","hs-",22.34
"576",2011,"Photographers","hs-college",55.21
"577",2011,"Photographic process workers and processing machine operators","college+",10.79
"578",2011,"Photographic process workers and processing machine operators","hs-",15.31
"579",2011,"Photographic process workers and processing machine operators","hs-college",16.9
"580",2011,"Physical scientists, all other","college+",150.18
"581",2011,"Physical scientists, all other","hs-",0.15
"582",2011,"Physical scientists, all other","hs-college",1.67
"583",2011,"Physician assistants","college+",60.93
"584",2011,"Physician assistants","hs-",3.44
"585",2011,"Physician assistants","hs-college",17.63
"586",2011,"Plasterers and stucco masons","college+",0.55
"587",2011,"Plasterers and stucco masons","hs-",19.99
"588",2011,"Plasterers and stucco masons","hs-college",3.43
"589",2011,"Podiatrists","college+",6
"590",2011,"Podiatrists","hs-",0
"591",2011,"Podiatrists","hs-college",0
"592",2011,"Postal service clerks","college+",24.53
"593",2011,"Postal service clerks","hs-",52.26
"594",2011,"Postal service clerks","hs-college",69.35
"595",2011,"Prepress technicians and workers","college+",8.11
"596",2011,"Prepress technicians and workers","hs-",16.4
"597",2011,"Prepress technicians and workers","hs-college",16.53
"598",2011,"Pressers, textile, garment, and related materials","college+",0.91
"599",2011,"Pressers, textile, garment, and related materials","hs-",40.61
"600",2011,"Pressers, textile, garment, and related materials","hs-college",6.43
"601",2011,"Private detectives and investigators","college+",45.72
"602",2011,"Private detectives and investigators","hs-",10.77
"603",2011,"Private detectives and investigators","hs-college",35.42
"604",2011,"Procurement clerks","college+",7.59
"605",2011,"Procurement clerks","hs-",6.45
"606",2011,"Procurement clerks","hs-college",11.96
"607",2011,"Production, planning, and expediting clerks","college+",68.91
"608",2011,"Production, planning, and expediting clerks","hs-",67.74
"609",2011,"Production, planning, and expediting clerks","hs-college",99.59
"610",2011,"Proofreaders and copy markers","college+",3.97
"611",2011,"Proofreaders and copy markers","hs-",1.12
"612",2011,"Proofreaders and copy markers","hs-college",1.92
"613",2011,"Property, real estate, and community association managers","college+",227.17
"614",2011,"Property, real estate, and community association managers","hs-",144.4
"615",2011,"Property, real estate, and community association managers","hs-college",215.43
"616",2011,"Public relations and fundraising managers","college+",52.11
"617",2011,"Public relations and fundraising managers","hs-",2.2
"618",2011,"Public relations and fundraising managers","hs-college",8.7
"619",2011,"Public relations specialists","college+",126.25
"620",2011,"Public relations specialists","hs-",8.06
"621",2011,"Public relations specialists","hs-college",23.86
"622",2011,"Purchasing managers","college+",116.08
"623",2011,"Purchasing managers","hs-",26.92
"624",2011,"Purchasing managers","hs-college",61
"625",2011,"Rail-track laying and maintenance equipment operators","college+",0.44
"626",2011,"Rail-track laying and maintenance equipment operators","hs-",4.46
"627",2011,"Rail-track laying and maintenance equipment operators","hs-college",2.09
"628",2011,"Railroad conductors and yardmasters","college+",6.03
"629",2011,"Railroad conductors and yardmasters","hs-",22.04
"630",2011,"Railroad conductors and yardmasters","hs-college",23.87
"631",2011,"Receptionists and information clerks","college+",188.85
"632",2011,"Receptionists and information clerks","hs-",502.34
"633",2011,"Receptionists and information clerks","hs-college",569.07
"634",2011,"Refuse and recyclable material collectors","college+",3.4
"635",2011,"Refuse and recyclable material collectors","hs-",71.3
"636",2011,"Refuse and recyclable material collectors","hs-college",17.21
"637",2011,"Registered nurses","college+",1501.83
"638",2011,"Registered nurses","hs-",32.47
"639",2011,"Registered nurses","hs-college",1171.7
"640",2011,"Religious workers, all other","college+",50.24
"641",2011,"Religious workers, all other","hs-",12.67
"642",2011,"Religious workers, all other","hs-college",22.1
"643",2011,"Reservation and transportation ticket agents and travel clerks","college+",27.32
"644",2011,"Reservation and transportation ticket agents and travel clerks","hs-",27.32
"645",2011,"Reservation and transportation ticket agents and travel clerks","hs-college",44.45
"646",2011,"Residential advisors","college+",16.39
"647",2011,"Residential advisors","hs-",17.41
"648",2011,"Residential advisors","hs-college",25.14
"649",2011,"Retail salespersons","college+",828.57
"650",2011,"Retail salespersons","hs-",1183.2
"651",2011,"Retail salespersons","hs-college",1212.23
"652",2011,"Roofers","college+",7.1
"653",2011,"Roofers","hs-",183.6
"654",2011,"Roofers","hs-college",31.3
"655",2011,"Sales engineers","college+",20.58
"656",2011,"Sales engineers","hs-",1.11
"657",2011,"Sales engineers","hs-college",8.34
"658",2011,"Sales representatives, services, all other","college+",232.89
"659",2011,"Sales representatives, services, all other","hs-",94.06
"660",2011,"Sales representatives, services, all other","hs-college",176.05
"661",2011,"Sawing machine setters, operators, and tenders, wood","college+",0.96
"662",2011,"Sawing machine setters, operators, and tenders, wood","hs-",26.33
"663",2011,"Sawing machine setters, operators, and tenders, wood","hs-college",4.67
"664",2011,"Securities, commodities, and financial services sales agents","college+",186.9
"665",2011,"Securities, commodities, and financial services sales agents","hs-",22.7
"666",2011,"Securities, commodities, and financial services sales agents","hs-college",57.67
"667",2011,"Sewing machine operators","college+",7.1
"668",2011,"Sewing machine operators","hs-",136.38
"669",2011,"Sewing machine operators","hs-college",25.35
"670",2011,"Sheet metal workers","college+",4.28
"671",2011,"Sheet metal workers","hs-",80.39
"672",2011,"Sheet metal workers","hs-college",41.33
"673",2011,"Shipping, receiving, and traffic clerks","college+",41.92
"674",2011,"Shipping, receiving, and traffic clerks","hs-",330.93
"675",2011,"Shipping, receiving, and traffic clerks","hs-college",185.58
"676",2011,"Social and community service managers","college+",227.01
"677",2011,"Social and community service managers","hs-",31.26
"678",2011,"Social and community service managers","hs-college",70.41
"679",2011,"Stationary engineers and boiler operators","college+",11.32
"680",2011,"Stationary engineers and boiler operators","hs-",43.42
"681",2011,"Stationary engineers and boiler operators","hs-college",40.29
"682",2011,"Statistical assistants","college+",5.9
"683",2011,"Statistical assistants","hs-",3.8
"684",2011,"Statistical assistants","hs-college",8.32
"685",2011,"Stock clerks and order fillers","college+",139.78
"686",2011,"Stock clerks and order fillers","hs-",876.25
"687",2011,"Stock clerks and order fillers","hs-college",486.97
"688",2011,"Structural iron and steel workers","college+",2.44
"689",2011,"Structural iron and steel workers","hs-",43.43
"690",2011,"Structural iron and steel workers","hs-college",20.07
"691",2011,"Structural metal fabricators and fitters","college+",1.44
"692",2011,"Structural metal fabricators and fitters","hs-",19.84
"693",2011,"Structural metal fabricators and fitters","hs-college",10.72
"694",2011,"Surveying and mapping technicians","college+",6.88
"695",2011,"Surveying and mapping technicians","hs-",19.29
"696",2011,"Surveying and mapping technicians","hs-college",35.84
"697",2011,"Switchboard operators, including answering service","college+",4.76
"698",2011,"Switchboard operators, including answering service","hs-",18.13
"699",2011,"Switchboard operators, including answering service","hs-college",16.07
"700",2011,"Tax examiners and collectors, and revenue agents","college+",34.09
"701",2011,"Tax examiners and collectors, and revenue agents","hs-",12.39
"702",2011,"Tax examiners and collectors, and revenue agents","hs-college",23.66
"703",2011,"Taxi drivers and chauffeurs","college+",58.14
"704",2011,"Taxi drivers and chauffeurs","hs-",178.18
"705",2011,"Taxi drivers and chauffeurs","hs-college",105.68
"706",2011,"Teacher assistants","college+",228.95
"707",2011,"Teacher assistants","hs-",304
"708",2011,"Teacher assistants","hs-college",417.05
"709",2011,"Telemarketers","college+",19.56
"710",2011,"Telemarketers","hs-",40.93
"711",2011,"Telemarketers","hs-college",47.52
"712",2011,"Telephone operators","college+",5.12
"713",2011,"Telephone operators","hs-",15.76
"714",2011,"Telephone operators","hs-college",19.2
"715",2011,"Tellers","college+",72.28
"716",2011,"Tellers","hs-",162.72
"717",2011,"Tellers","hs-college",178.41
"718",2011,"Tool and die makers","college+",2.44
"719",2011,"Tool and die makers","hs-",31.88
"720",2011,"Tool and die makers","hs-college",31.68
"721",2011,"Training and development managers","college+",25.27
"722",2011,"Training and development managers","hs-",2.96
"723",2011,"Training and development managers","hs-college",9.76
"724",2011,"Training and development specialists","college+",67.86
"725",2011,"Training and development specialists","hs-",18.33
"726",2011,"Training and development specialists","hs-college",43.68
"727",2011,"Transportation attendants, except flight attendants","college+",4.2
"728",2011,"Transportation attendants, except flight attendants","hs-",17.8
"729",2011,"Transportation attendants, except flight attendants","hs-college",9.98
"730",2011,"Transportation inspectors","college+",5.5
"731",2011,"Transportation inspectors","hs-",13.25
"732",2011,"Transportation inspectors","hs-college",13.28
"733",2011,"Transportation, storage, and distribution managers","college+",73.41
"734",2011,"Transportation, storage, and distribution managers","hs-",86.1
"735",2011,"Transportation, storage, and distribution managers","hs-college",94.75
"736",2011,"Travel agents","college+",24.22
"737",2011,"Travel agents","hs-",14.49
"738",2011,"Travel agents","hs-college",30.22
"739",2011,"Urban and regional planners","college+",24.28
"740",2011,"Urban and regional planners","hs-",0.08
"741",2011,"Urban and regional planners","hs-college",1.62
"742",2011,"Ushers, lobby attendants, and ticket takers","college+",10.54
"743",2011,"Ushers, lobby attendants, and ticket takers","hs-",19.87
"744",2011,"Ushers, lobby attendants, and ticket takers","hs-college",15.64
"745",2011,"Veterinarians","college+",69.94
"746",2011,"Veterinarians","hs-",0.93
"747",2011,"Veterinarians","hs-college",0.21
"748",2011,"Waiters and waitresses","college+",308.85
"749",2011,"Waiters and waitresses","hs-",986.27
"750",2011,"Waiters and waitresses","hs-college",761.83
"751",2011,"Water and wastewater treatment plant and system operators","college+",6.67
"752",2011,"Water and wastewater treatment plant and system operators","hs-",30.82
"753",2011,"Water and wastewater treatment plant and system operators","hs-college",33.52
"754",2011,"Weighers, measurers, checkers, and samplers, recordkeeping","college+",8.61
"755",2011,"Weighers, measurers, checkers, and samplers, recordkeeping","hs-",36.19
"756",2011,"Weighers, measurers, checkers, and samplers, recordkeeping","hs-college",25.2
"757",2013,"Accountants and auditors","college+",1404.76
"758",2013,"Accountants and auditors","hs-",78.74
"759",2013,"Accountants and auditors","hs-college",306
"760",2013,"Actors","college+",26.39
"761",2013,"Actors","hs-",5.81
"762",2013,"Actors","hs-college",9.29
"763",2013,"Actuaries","college+",26.59
"764",2013,"Actuaries","hs-",0
"765",2013,"Actuaries","hs-college",0.4
"766",2013,"Adhesive bonding machine operators and tenders","college+",0.19
"767",2013,"Adhesive bonding machine operators and tenders","hs-",8.35
"768",2013,"Adhesive bonding machine operators and tenders","hs-college",1.96
"769",2013,"Administrative services managers","college+",50.24
"770",2013,"Administrative services managers","hs-",24.29
"771",2013,"Administrative services managers","hs-college",53.97
"772",2013,"Advertising and promotions managers","college+",50.44
"773",2013,"Advertising and promotions managers","hs-",3.71
"774",2013,"Advertising and promotions managers","hs-college",9.86
"775",2013,"Advertising sales agents","college+",133.38
"776",2013,"Advertising sales agents","hs-",29.96
"777",2013,"Advertising sales agents","hs-college",70.44
"778",2013,"Aerospace engineers","college+",112.96
"779",2013,"Aerospace engineers","hs-",3.15
"780",2013,"Aerospace engineers","hs-college",15.39
"781",2013,"Agents and business managers of artists, performers, and athletes","college+",31.8
"782",2013,"Agents and business managers of artists, performers, and athletes","hs-",5.41
"783",2013,"Agents and business managers of artists, performers, and athletes","hs-college",15.79
"784",2013,"Agricultural and food science technicians","college+",7.83
"785",2013,"Agricultural and food science technicians","hs-",11.28
"786",2013,"Agricultural and food science technicians","hs-college",10.89
"787",2013,"Agricultural inspectors","college+",5.33
"788",2013,"Agricultural inspectors","hs-",4.66
"789",2013,"Agricultural inspectors","hs-college",4.02
"790",2013,"Aircraft mechanics and service technicians","college+",15.91
"791",2013,"Aircraft mechanics and service technicians","hs-",47.09
"792",2013,"Aircraft mechanics and service technicians","hs-college",94.5
"793",2013,"Aircraft structure, surfaces, rigging, and systems assemblers","college+",0.74
"794",2013,"Aircraft structure, surfaces, rigging, and systems assemblers","hs-",9.21
"795",2013,"Aircraft structure, surfaces, rigging, and systems assemblers","hs-college",8.55
"796",2013,"Ambulance drivers and attendants, except emergency medical technicians","college+",2.09
"797",2013,"Ambulance drivers and attendants, except emergency medical technicians","hs-",9.35
"798",2013,"Ambulance drivers and attendants, except emergency medical technicians","hs-college",7.07
"799",2013,"Animal control workers","college+",1.76
"800",2013,"Animal control workers","hs-",4.78
"801",2013,"Animal control workers","hs-college",4.45
"802",2013,"Animal trainers","college+",12.16
"803",2013,"Animal trainers","hs-",13.64
"804",2013,"Animal trainers","hs-college",14.16
"805",2013,"Appraisers and assessors of real estate","college+",50.33
"806",2013,"Appraisers and assessors of real estate","hs-",12.03
"807",2013,"Appraisers and assessors of real estate","hs-college",33.14
"808",2013,"Architectural and engineering managers","college+",101.95
"809",2013,"Architectural and engineering managers","hs-",5.06
"810",2013,"Architectural and engineering managers","hs-college",13.49
"811",2013,"Atmospheric and space scientists","college+",11.67
"812",2013,"Atmospheric and space scientists","hs-",0
"813",2013,"Atmospheric and space scientists","hs-college",2.81
"814",2013,"Audiologists","college+",13.69
"815",2013,"Audiologists","hs-",0.4
"816",2013,"Audiologists","hs-college",0.9
"817",2013,"Automotive and watercraft service attendants","college+",8.55
"818",2013,"Automotive and watercraft service attendants","hs-",56.45
"819",2013,"Automotive and watercraft service attendants","hs-college",27.99
"820",2013,"Automotive body and related repairers","college+",3.85
"821",2013,"Automotive body and related repairers","hs-",110.11
"822",2013,"Automotive body and related repairers","hs-college",40.19
"823",2013,"Avionics technicians","college+",0.96
"824",2013,"Avionics technicians","hs-",2.59
"825",2013,"Avionics technicians","hs-college",8.46
"826",2013,"Bakers","college+",21.11
"827",2013,"Bakers","hs-",125.45
"828",2013,"Bakers","hs-college",56.43
"829",2013,"Barbers","college+",5.43
"830",2013,"Barbers","hs-",72.57
"831",2013,"Barbers","hs-college",40.12
"832",2013,"Bartenders","college+",79.59
"833",2013,"Bartenders","hs-",146.32
"834",2013,"Bartenders","hs-college",189.01
"835",2013,"Bill and account collectors","college+",34.08
"836",2013,"Bill and account collectors","hs-",61.28
"837",2013,"Bill and account collectors","hs-college",96.13
"838",2013,"Billing and posting clerks","college+",85.05
"839",2013,"Billing and posting clerks","hs-",159.9
"840",2013,"Billing and posting clerks","hs-college",241.06
"841",2013,"Biological technicians","college+",10.22
"842",2013,"Biological technicians","hs-",3.7
"843",2013,"Biological technicians","hs-college",6.08
"844",2013,"Boilermakers","college+",0.65
"845",2013,"Boilermakers","hs-",11.97
"846",2013,"Boilermakers","hs-college",7.87
"847",2013,"Bookkeeping, accounting, and auditing clerks","college+",248.39
"848",2013,"Bookkeeping, accounting, and auditing clerks","hs-",393.92
"849",2013,"Bookkeeping, accounting, and auditing clerks","hs-college",612.19
"850",2013,"Brokerage clerks","college+",1.34
"851",2013,"Brokerage clerks","hs-",0.88
"852",2013,"Brokerage clerks","hs-college",1.29
"853",2013,"Budget analysts","college+",43.05
"854",2013,"Budget analysts","hs-",2.57
"855",2013,"Budget analysts","hs-college",12.87
"856",2013,"Bus and truck mechanics and diesel engine specialists","college+",12.01
"857",2013,"Bus and truck mechanics and diesel engine specialists","hs-",194.02
"858",2013,"Bus and truck mechanics and diesel engine specialists","hs-college",109.97
"859",2013,"Business operations specialists, all other","college+",134.47
"860",2013,"Business operations specialists, all other","hs-",26.31
"861",2013,"Business operations specialists, all other","hs-college",62.21
"862",2013,"Buyers and purchasing agents, farm products","college+",4.33
"863",2013,"Buyers and purchasing agents, farm products","hs-",5.68
"864",2013,"Buyers and purchasing agents, farm products","hs-college",3.47
"865",2013,"Cabinetmakers and bench carpenters","college+",3.17
"866",2013,"Cabinetmakers and bench carpenters","hs-",31.01
"867",2013,"Cabinetmakers and bench carpenters","hs-college",11.82
"868",2013,"Cargo and freight agents","college+",6.54
"869",2013,"Cargo and freight agents","hs-",7.74
"870",2013,"Cargo and freight agents","hs-college",12.19
"871",2013,"Carpenters","college+",76.38
"872",2013,"Carpenters","hs-",808
"873",2013,"Carpenters","hs-college",309.11
"874",2013,"Chefs and head cooks","college+",57.55
"875",2013,"Chefs and head cooks","hs-",193.75
"876",2013,"Chefs and head cooks","hs-college",163.12
"877",2013,"Chemical engineers","college+",57.35
"878",2013,"Chemical engineers","hs-",2.64
"879",2013,"Chemical engineers","hs-college",6.01
"880",2013,"Chemical technicians","college+",24.62
"881",2013,"Chemical technicians","hs-",17.42
"882",2013,"Chemical technicians","hs-college",23.45
"883",2013,"Childcare workers","college+",226.41
"884",2013,"Childcare workers","hs-",578.76
"885",2013,"Childcare workers","hs-college",466.82
"886",2013,"Chiropractors","college+",55.91
"887",2013,"Chiropractors","hs-",0.87
"888",2013,"Chiropractors","hs-college",1.21
"889",2013,"Civil engineers","college+",310.89
"890",2013,"Civil engineers","hs-",8.62
"891",2013,"Civil engineers","hs-college",39.13
"892",2013,"Cleaners of vehicles and equipment","college+",12.26
"893",2013,"Cleaners of vehicles and equipment","hs-",257.24
"894",2013,"Cleaners of vehicles and equipment","hs-college",61.66
"895",2013,"Clergy","college+",306.75
"896",2013,"Clergy","hs-",36.81
"897",2013,"Clergy","hs-college",65.44
"898",2013,"Coin, vending, and amusement machine servicers and repairers","college+",3.04
"899",2013,"Coin, vending, and amusement machine servicers and repairers","hs-",18.29
"900",2013,"Coin, vending, and amusement machine servicers and repairers","hs-college",15.15
"901",2013,"Combined food preparation and serving workers, including fast food","college+",21.96
"902",2013,"Combined food preparation and serving workers, including fast food","hs-",234.36
"903",2013,"Combined food preparation and serving workers, including fast food","hs-college",103.68
"904",2013,"Communications equipment operators, all other","college+",1.92
"905",2013,"Communications equipment operators, all other","hs-",1.49
"906",2013,"Communications equipment operators, all other","hs-college",2.6
"907",2013,"Compensation and benefits managers","college+",9.13
"908",2013,"Compensation and benefits managers","hs-",0.66
"909",2013,"Compensation and benefits managers","hs-college",3.69
"910",2013,"Compensation, benefits, and job analysis specialists","college+",42.12
"911",2013,"Compensation, benefits, and job analysis specialists","hs-",9.31
"912",2013,"Compensation, benefits, and job analysis specialists","hs-college",25.41
"913",2013,"Compliance officers","college+",119.58
"914",2013,"Compliance officers","hs-",21.48
"915",2013,"Compliance officers","hs-college",55.75
"916",2013,"Computer and information research scientists","college+",21.67
"917",2013,"Computer and information research scientists","hs-",0.26
"918",2013,"Computer and information research scientists","hs-college",1.59
"919",2013,"Computer and information systems managers","college+",439.95
"920",2013,"Computer and information systems managers","hs-",27.15
"921",2013,"Computer and information systems managers","hs-college",136.39
"922",2013,"Computer hardware engineers","college+",68.05
"923",2013,"Computer hardware engineers","hs-",4.8
"924",2013,"Computer hardware engineers","hs-college",17.65
"925",2013,"Computer occupations, all other","college+",204.27
"926",2013,"Computer occupations, all other","hs-",33.05
"927",2013,"Computer occupations, all other","hs-college",138.56
"928",2013,"Computer operators","college+",30.92
"929",2013,"Computer operators","hs-",24.23
"930",2013,"Computer operators","hs-college",43.15
"931",2013,"Computer programmers","college+",347.87
"932",2013,"Computer programmers","hs-",26.16
"933",2013,"Computer programmers","hs-college",110.47
"934",2013,"Computer systems analysts","college+",375.5
"935",2013,"Computer systems analysts","hs-",23.76
"936",2013,"Computer systems analysts","hs-college",117.24
"937",2013,"Computer, automated teller, and office machine repairers","college+",76.69
"938",2013,"Computer, automated teller, and office machine repairers","hs-",59.55
"939",2013,"Computer, automated teller, and office machine repairers","hs-college",154.25
"940",2013,"Construction and building inspectors","college+",28.59
"941",2013,"Construction and building inspectors","hs-",32.19
"942",2013,"Construction and building inspectors","hs-college",48.73
"943",2013,"Construction laborers","college+",87.69
"944",2013,"Construction laborers","hs-",1058.13
"945",2013,"Construction laborers","hs-college",317.15
"946",2013,"Construction managers","college+",306.69
"947",2013,"Construction managers","hs-",299.47
"948",2013,"Construction managers","hs-college",295.86
"949",2013,"Cost estimators","college+",38.39
"950",2013,"Cost estimators","hs-",31.63
"951",2013,"Cost estimators","hs-college",48.35
"952",2013,"Counter and rental clerks","college+",19.68
"953",2013,"Counter and rental clerks","hs-",60.6
"954",2013,"Counter and rental clerks","hs-college",39.72
"955",2013,"Couriers and messengers","college+",27.54
"956",2013,"Couriers and messengers","hs-",91.03
"957",2013,"Couriers and messengers","hs-college",86.72
"958",2013,"Court, municipal, and license clerks","college+",19.18
"959",2013,"Court, municipal, and license clerks","hs-",24.4
"960",2013,"Court, municipal, and license clerks","hs-college",39.43
"961",2013,"Crane and tower operators","college+",1.54
"962",2013,"Crane and tower operators","hs-",47.57
"963",2013,"Crane and tower operators","hs-college",17.82
"964",2013,"Credit analysts","college+",18.15
"965",2013,"Credit analysts","hs-",3.27
"966",2013,"Credit analysts","hs-college",8.58
"967",2013,"Credit authorizers, checkers, and clerks","college+",12.2
"968",2013,"Credit authorizers, checkers, and clerks","hs-",11.87
"969",2013,"Credit authorizers, checkers, and clerks","hs-college",17.47
"970",2013,"Crossing guards","college+",5.13
"971",2013,"Crossing guards","hs-",37.51
"972",2013,"Crossing guards","hs-college",18.36
"973",2013,"Customer service representatives","college+",505.13
"974",2013,"Customer service representatives","hs-",623.88
"975",2013,"Customer service representatives","hs-college",879.46
"976",2013,"Data entry keyers","college+",67.3
"977",2013,"Data entry keyers","hs-",105.3
"978",2013,"Data entry keyers","hs-college",149.09
"979",2013,"Database administrators","college+",70.84
"980",2013,"Database administrators","hs-",6.27
"981",2013,"Database administrators","hs-college",22.49
"982",2013,"Dental assistants","college+",25.16
"983",2013,"Dental assistants","hs-",90.14
"984",2013,"Dental assistants","hs-college",161.2
"985",2013,"Dental hygienists","college+",61.77
"986",2013,"Dental hygienists","hs-",6.42
"987",2013,"Dental hygienists","hs-college",105.49
"988",2013,"Detectives and criminal investigators","college+",90.95
"989",2013,"Detectives and criminal investigators","hs-",12.09
"990",2013,"Detectives and criminal investigators","hs-college",55.97
"991",2013,"Dietitians and nutritionists","college+",81.81
"992",2013,"Dietitians and nutritionists","hs-",17.97
"993",2013,"Dietitians and nutritionists","hs-college",13.11
"994",2013,"Directors, religious activities and education","college+",38.94
"995",2013,"Directors, religious activities and education","hs-",5.61
"996",2013,"Directors, religious activities and education","hs-college",14.46
"997",2013,"Dishwashers","college+",9.72
"998",2013,"Dishwashers","hs-",236.81
"999",2013,"Dishwashers","hs-college",39.76
"1000",2013,"Door-to-door sales workers, news and street vendors, and related workers","college+",36.76
"1001",2013,"Door-to-door sales workers, news and street vendors, and related workers","hs-",92.78
"1002",2013,"Door-to-door sales workers, news and street vendors, and related workers","hs-college",65.15
"1003",2013,"Earth drillers, except oil and gas","college+",1.87
"1004",2013,"Earth drillers, except oil and gas","hs-",24.38
"1005",2013,"Earth drillers, except oil and gas","hs-college",7.76
"1006",2013,"Economists","college+",29.55
"1007",2013,"Economists","hs-",0.24
"1008",2013,"Economists","hs-college",0.24
"1009",2013,"Editors","college+",128.24
"1010",2013,"Editors","hs-",5.56
"1011",2013,"Editors","hs-college",20.7
"1012",2013,"Electrical power-line installers and repairers","college+",5.79
"1013",2013,"Electrical power-line installers and repairers","hs-",51.08
"1014",2013,"Electrical power-line installers and repairers","hs-college",56.53
"1015",2013,"Electricians","college+",54.04
"1016",2013,"Electricians","hs-",319.95
"1017",2013,"Electricians","hs-college",336.3
"1018",2013,"Elevator installers and repairers","college+",2.04
"1019",2013,"Elevator installers and repairers","hs-",12.96
"1020",2013,"Elevator installers and repairers","hs-college",11.53
"1021",2013,"Eligibility interviewers, government programs","college+",38.5
"1022",2013,"Eligibility interviewers, government programs","hs-",12.94
"1023",2013,"Eligibility interviewers, government programs","hs-college",32.07
"1024",2013,"Emergency management directors","college+",3.86
"1025",2013,"Emergency management directors","hs-",0.4
"1026",2013,"Emergency management directors","hs-college",2.23
"1027",2013,"Emergency medical technicians and paramedics","college+",29.58
"1028",2013,"Emergency medical technicians and paramedics","hs-",25.58
"1029",2013,"Emergency medical technicians and paramedics","hs-college",118.85
"1030",2013,"Engine and other machine assemblers","college+",1.33
"1031",2013,"Engine and other machine assemblers","hs-",16.12
"1032",2013,"Engine and other machine assemblers","hs-college",8.56
"1033",2013,"Entertainers and performers, sports and related workers, all other","college+",14.67
"1034",2013,"Entertainers and performers, sports and related workers, all other","hs-",9.46
"1035",2013,"Entertainers and performers, sports and related workers, all other","hs-college",13.87
"1036",2013,"Environmental engineers","college+",33.4
"1037",2013,"Environmental engineers","hs-",2.16
"1038",2013,"Environmental engineers","hs-college",2.44
"1039",2013,"Explosives workers, ordnance handling experts, and blasters","college+",0.82
"1040",2013,"Explosives workers, ordnance handling experts, and blasters","hs-",3.73
"1041",2013,"Explosives workers, ordnance handling experts, and blasters","hs-college",3.44
"1042",2013,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","college+",0.32
"1043",2013,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","hs-",7.55
"1044",2013,"Extruding and drawing machine setters, operators, and tenders, metal and plastic","hs-college",3.62
"1045",2013,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","college+",0.93
"1046",2013,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","hs-",24.67
"1047",2013,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders","hs-college",9.9
"1048",2013,"Farmers, ranchers, and other agricultural managers","college+",207.9
"1049",2013,"Farmers, ranchers, and other agricultural managers","hs-",457.95
"1050",2013,"Farmers, ranchers, and other agricultural managers","hs-college",270.65
"1051",2013,"Fence erectors","college+",1.29
"1052",2013,"Fence erectors","hs-",25.77
"1053",2013,"Fence erectors","hs-college",6.94
"1054",2013,"File clerks","college+",62.04
"1055",2013,"File clerks","hs-",88.12
"1056",2013,"File clerks","hs-college",124.07
"1057",2013,"Financial analysts","college+",83.51
"1058",2013,"Financial analysts","hs-",2.81
"1059",2013,"Financial analysts","hs-college",10.67
