"","occupation","code","education","work_experience","job_training","year"
"630","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","51-4122","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"631","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","51-4191","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"632","Layout Workers, Metal and Plastic","51-4192","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"633","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","51-4193","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"634","Tool Grinders, Filers, and Sharpeners","51-4194","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"635","Metal Workers and Plastic Workers, All Other","51-4199","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"636","Prepress Technicians and Workers","51-5111","Postsecondary non-degree award","None","None","2010"
"637","Printing Press Operators","51-5112","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"638","Print Binding and Finishing Workers","51-5113","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"639","Laundry and Dry-Cleaning Workers","51-6011","Less than high school","None","Short-term on-the-job training","2010"
"640","Pressers, Textile, Garment, and Related Materials","51-6021","Less than high school","None","Short-term on-the-job training","2010"
"641","Sewing Machine Operators","51-6031","Less than high school","None","Short-term on-the-job training","2010"
"642","Shoe and Leather Workers and Repairers","51-6041","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"643","Shoe Machine Operators and Tenders","51-6042","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"644","Sewers, Hand","51-6051","Less than high school","None","Moderate-term on-the-job training","2010"
"645","Tailors, Dressmakers, and Custom Sewers","51-6052","Less than high school","None","Moderate-term on-the-job training","2010"
"646","Textile Bleaching and Dyeing Machine Operators and Tenders","51-6061","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"647","Textile Cutting Machine Setters, Operators, and Tenders","51-6062","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"648","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","51-6063","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"649","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","51-6064","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"650","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","51-6091","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"651","Fabric and Apparel Patternmakers","51-6092","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"652","Upholsterers","51-6093","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"653","Textile, Apparel, and Furnishings Workers, All Other","51-6099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"654","Cabinetmakers and Bench Carpenters","51-7011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"655","Furniture Finishers","51-7021","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"656","Model Makers, Wood","51-7031","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"657","Patternmakers, Wood","51-7032","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"658","Sawing Machine Setters, Operators, and Tenders, Wood","51-7041","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"659","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","51-7042","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"660","Woodworkers, All Other","51-7099","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"661","Nuclear Power Reactor Operators","51-8011","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"662","Power Distributors and Dispatchers","51-8012","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"663","Power Plant Operators","51-8013","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"664","Stationary Engineers and Boiler Operators","51-8021","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"665","Water and Wastewater Treatment Plant and System Operators","51-8031","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"666","Chemical Plant and System Operators","51-8091","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"667","Gas Plant Operators","51-8092","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"668","Petroleum Pump System Operators, Refinery Operators, and Gaugers","51-8093","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"669","Plant and System Operators, All Other","51-8099","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"670","Chemical Equipment Operators and Tenders","51-9011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"671","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","51-9012","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"672","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","51-9021","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"673","Grinding and Polishing Workers, Hand","51-9022","Less than high school","None","Moderate-term on-the-job training","2010"
"674","Mixing and Blending Machine Setters, Operators, and Tenders","51-9023","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"675","Cutters and Trimmers, Hand","51-9031","Less than high school","None","Short-term on-the-job training","2010"
"676","Cutting and Slicing Machine Setters, Operators, and Tenders","51-9032","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"677","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","51-9041","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"678","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","51-9051","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"679","Inspectors, Testers, Sorters, Samplers, and Weighers","51-9061","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"680","Jewelers and Precious Stone and Metal Workers","51-9071","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"681","Dental Laboratory Technicians","51-9081","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"682","Medical Appliance Technicians","51-9082","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"683","Ophthalmic Laboratory Technicians","51-9083","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"684","Packaging and Filling Machine Operators and Tenders","51-9111","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"685","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","51-9121","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"686","Painters, Transportation Equipment","51-9122","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"687","Painting, Coating, and Decorating Workers","51-9123","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"688","Semiconductor Processors","51-9141","Associate's degree","None","Moderate-term on-the-job training","2010"
"689","Photographic Process Workers and Processing Machine Operators","51-9151","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"690","Adhesive Bonding Machine Operators and Tenders","51-9191","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"691","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","51-9192","Less than high school","None","Moderate-term on-the-job training","2010"
"692","Cooling and Freezing Equipment Operators and Tenders","51-9193","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"693","Etchers and Engravers","51-9194","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"694","Molders, Shapers, and Casters, Except Metal and Plastic","51-9195","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"695","Paper Goods Machine Setters, Operators, and Tenders","51-9196","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"696","Tire Builders","51-9197","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"697","Helpers--Production Workers","51-9198","Less than high school","None","Short-term on-the-job training","2010"
"698","Production Workers, All Other","51-9399","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"699","Aircraft Cargo Handling Supervisors","53-1011","High school diploma or equivalent","1 to 5 years","None","2010"
"700","First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","53-1021","High school diploma or equivalent","1 to 5 years","None","2010"
"701","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators","53-1031","High school diploma or equivalent","1 to 5 years","None","2010"
"702","Airline Pilots, Copilots, and Flight Engineers","53-2011","Bachelor's degree","1 to 5 years","Moderate-term on-the-job training","2010"
"703","Commercial Pilots","53-2012","Postsecondary non-degree award","None","None","2010"
"704","Air Traffic Controllers","53-2021","Associate's degree","None","Long-term on-the-job training","2010"
"705","Airfield Operations Specialists","53-2022","High school diploma or equivalent","None","Long-term on-the-job training","2010"
"706","Flight Attendants","53-2031","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"707","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","53-3011","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"708","Bus Drivers, Transit and Intercity","53-3021","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"709","Bus Drivers, School or Special Client","53-3022","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"710","Driver/Sales Workers","53-3031","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"711","Heavy and Tractor-Trailer Truck Drivers","53-3032","High school diploma or equivalent","1 to 5 years","Short-term on-the-job training","2010"
"712","Light Truck or Delivery Services Drivers","53-3033","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"713","Taxi Drivers and Chauffeurs","53-3041","Less than high school","None","Short-term on-the-job training","2010"
"714","Motor Vehicle Operators, All Other","53-3099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"715","Locomotive Engineers","53-4011","High school diploma or equivalent","1 to 5 years","Moderate-term on-the-job training","2010"
"716","Locomotive Firers","53-4012","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"717","Rail Yard Engineers, Dinkey Operators, and Hostlers","53-4013","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"718","Railroad Brake, Signal, and Switch Operators","53-4021","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"719","Railroad Conductors and Yardmasters","53-4031","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"720","Subway and Streetcar Operators","53-4041","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"721","Rail Transportation Workers, All Other","53-4099","High school diploma or equivalent","None","Moderate-term on-the-job training","2010"
"722","Sailors and Marine Oilers","53-5011","Less than high school","None","Short-term on-the-job training","2010"
"723","Captains, Mates, and Pilots of Water Vessels","53-5021","Bachelor's degree","None","None","2010"
"724","Motorboat Operators","53-5022","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"725","Ship Engineers","53-5031","Bachelor's degree","None","None","2010"
"726","Bridge and Lock Tenders","53-6011","Less than high school","None","Short-term on-the-job training","2010"
"727","Parking Lot Attendants","53-6021","Less than high school","None","Short-term on-the-job training","2010"
"728","Automotive and Watercraft Service Attendants","53-6031","Less than high school","None","Short-term on-the-job training","2010"
"729","Traffic Technicians","53-6041","Less than high school","None","Short-term on-the-job training","2010"
"730","Transportation Inspectors","53-6051","Some college, no degree","None","Short-term on-the-job training","2010"
"731","Transportation Attendants, Except Flight Attendants","53-6061","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"732","Transportation Workers, All Other","53-6099","High school diploma or equivalent","None","Short-term on-the-job training","2010"
"733","Conveyor Operators and Tenders","53-7011","Less than high school","None","Short-term on-the-job training","2010"
"734","Crane and Tower Operators","53-7021","Less than high school","1 to 5 years","Long-term on-the-job training","2010"
"735","Dredge Operators","53-7031","Less than high school","None","Short-term on-the-job training","2010"
"736","Excavating and Loading Machine and Dragline Operators","53-7032","Less than high school","1 to 5 years","Moderate-term on-the-job training","2010"
"737","Loading Machine Operators, Underground Mining","53-7033","Less than high school","None","Short-term on-the-job training","2010"
"738","Hoist and Winch Operators","53-7041","Less than high school","None","Moderate-term on-the-job training","2010"
"739","Industrial Truck and Tractor Operators","53-7051","Less than high school","Less than 1 year","Short-term on-the-job training","2010"
"740","Cleaners of Vehicles and Equipment","53-7061","Less than high school","None","Short-term on-the-job training","2010"
"741","Laborers and Freight, Stock, and Material Movers, Hand","53-7062","Less than high school","None","Short-term on-the-job training","2010"
"742","Machine Feeders and Offbearers","53-7063","Less than high school","None","Short-term on-the-job training","2010"
"743","Packers and Packagers, Hand","53-7064","Less than high school","None","Short-term on-the-job training","2010"
"744","Gas Compressor and Gas Pumping Station Operators","53-7071","Less than high school","None","Moderate-term on-the-job training","2010"
"745","Pump Operators, Except Wellhead Pumpers","53-7072","Less than high school","None","Moderate-term on-the-job training","2010"
"746","Wellhead Pumpers","53-7073","Less than high school","Less than 1 year","Moderate-term on-the-job training","2010"
"747","Refuse and Recyclable Material Collectors","53-7081","Less than high school","None","Short-term on-the-job training","2010"
"748","Mine Shuttle Car Operators","53-7111","Less than high school","None","Short-term on-the-job training","2010"
"749","Tank Car, Truck, and Ship Loaders","53-7121","Less than high school","None","Short-term on-the-job training","2010"
"750","Material Moving Workers, All Other","53-7199","Less than high school","None","Short-term on-the-job training","2010"
"751","Chief executives","11-1011","Bachelor's degree","5 years or more","None","2014"
"752","General and operations managers","11-1021","Bachelor's degree","5 years or more","None","2014"
"753","Legislators","11-1031","Bachelor's degree","Less than 5 years","None","2014"
"754","Advertising and promotions managers","40848.0","Bachelor's degree","Less than 5 years","None","2014"
"755","Marketing managers","44501.0","Bachelor's degree","5 years or more","None","2014"
"756","Sales managers","44866.0","Bachelor's degree","Less than 5 years","None","2014"
"757","Public relations and fundraising managers","48153.0","Bachelor's degree","5 years or more","None","2014"
"758","Administrative services managers","406090.0","Bachelor's degree","Less than 5 years","None","2014"
"759","Computer and information systems managers","409743.0","Bachelor's degree","5 years or more","None","2014"
"760","Financial managers","413395.0","Bachelor's degree","5 years or more","None","2014"
"761","Industrial production managers","420700.0","Bachelor's degree","5 years or more","None","2014"
"762","Purchasing managers","424353.0","Bachelor's degree","5 years or more","None","2014"
"763","Transportation, storage, and distribution managers","428005.0","High school diploma or equivalent","5 years or more","None","2014"
"764","Compensation and benefits managers","442614.0","Bachelor's degree","5 years or more","None","2014"
"765","Human resources managers","446267.0","Bachelor's degree","5 years or more","None","2014"
"766","Training and development managers","449919.0","Bachelor's degree","5 years or more","None","2014"
"767","Farmers, ranchers, and other agricultural managers","2598276.0","High school diploma or equivalent","5 years or more","None","2014"
"768","Construction managers","2601198.0","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"769","Education administrators, preschool and childcare center/program","2604850.0","Bachelor's degree","Less than 5 years","None","2014"
"770","Education administrators, elementary and secondary school","2605216.0","Master's degree","5 years or more","None","2014"
"771","Education administrators, postsecondary","2605581.0","Master's degree","Less than 5 years","None","2014"
"772","Education administrators, all other","2607772.0","Bachelor's degree","Less than 5 years","None","2014"
"773","Architectural and engineering managers","2608503.0","Bachelor's degree","5 years or more","None","2014"
"774","Food service managers","2612155.0","High school diploma or equivalent","Less than 5 years","None","2014"
"775","Funeral service managers","2615808.0","Associate's degree","Less than 5 years","None","2014"
"776","Gaming managers","2619460.0","High school diploma or equivalent","Less than 5 years","None","2014"
"777","Lodging managers","2623113.0","High school diploma or equivalent","Less than 5 years","None","2014"
"778","Medical and health services managers","2634069.0","Bachelor's degree","Less than 5 years","None","2014"
"779","Natural sciences managers","2637722.0","Bachelor's degree","5 years or more","None","2014"
"780","Postmasters and mail superintendents","2641374.0","High school diploma or equivalent","Less than 5 years","Moderate-term on-the-job training","2014"
"781","Property, real estate, and community association managers","2645027.0","High school diploma or equivalent","Less than 5 years","None","2014"
"782","Social and community service managers","2648679.0","Bachelor's degree","5 years or more","None","2014"
"783","Emergency management directors","2652332.0","Bachelor's degree","5 years or more","None","2014"
"784","Managers, all other","2666211.0","Bachelor's degree","Less than 5 years","None","2014"
"785","Agents and business managers of artists, performers, and athletes","13-1011","Bachelor's degree","Less than 5 years","None","2014"
"786","Buyers and purchasing agents, farm products","13-1021","Bachelor's degree","None","Long-term on-the-job training","2014"
"787","Wholesale and retail buyers, except farm products","13-1022","Bachelor's degree","None","Long-term on-the-job training","2014"
"788","Purchasing agents, except wholesale, retail, and farm products","13-1023","Bachelor's degree","None","Long-term on-the-job training","2014"
"789","Claims adjusters, examiners, and investigators","13-1031","High school diploma or equivalent","None","Long-term on-the-job training","2014"
"790","Insurance appraisers, auto damage","13-1032","Postsecondary nondegree award","None","Moderate-term on-the-job training","2014"
"791","Compliance officers","13-1041","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"792","Cost estimators","13-1051","Bachelor's degree","None","None","2014"
"793","Human resources specialists","13-1071","Bachelor's degree","None","None","2014"
"794","Farm labor contractors","13-1074","No formal educational credential","Less than 5 years","Short-term on-the-job training","2014"
"795","Labor relations specialists","13-1075","Bachelor's degree","Less than 5 years","None","2014"
"796","Logisticians","13-1081","Bachelor's degree","None","None","2014"
"797","Management analysts","13-1111","Bachelor's degree","Less than 5 years","None","2014"
"798","Meeting, convention, and event planners","13-1121","Bachelor's degree","None","None","2014"
"799","Fundraisers","13-1131","Bachelor's degree","None","None","2014"
"800","Compensation, benefits, and job analysis specialists","13-1141","Bachelor's degree","Less than 5 years","None","2014"
"801","Training and development specialists","13-1151","Bachelor's degree","Less than 5 years","None","2014"
"802","Market research analysts and marketing specialists","13-1161","Bachelor's degree","None","None","2014"
"803","Business operations specialists, all other","13-1199","Bachelor's degree","None","None","2014"
"804","Accountants and auditors","13-2011","Bachelor's degree","None","None","2014"
"805","Appraisers and assessors of real estate","13-2021","Bachelor's degree","None","Long-term on-the-job training","2014"
"806","Budget analysts","13-2031","Bachelor's degree","None","None","2014"
"807","Credit analysts","13-2041","Bachelor's degree","None","None","2014"
"808","Financial analysts","13-2051","Bachelor's degree","None","None","2014"
"809","Personal financial advisors","13-2052","Bachelor's degree","None","Long-term on-the-job training","2014"
"810","Insurance underwriters","13-2053","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"811","Financial examiners","13-2061","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"812","Credit counselors","13-2071","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"813","Loan officers","13-2072","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"814","Tax examiners and collectors, and revenue agents","13-2081","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"815","Tax preparers","13-2082","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"816","Financial specialists, all other","13-2099","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"817","Computer and information research scientists","15-1111","Doctoral or professional degree","None","None","2014"
"818","Computer systems analysts","15-1121","Bachelor's degree","None","None","2014"
"819","Information security analysts","15-1122","Bachelor's degree","Less than 5 years","None","2014"
"820","Computer programmers","15-1131","Bachelor's degree","None","None","2014"
"821","Software developers, applications","15-1132","Bachelor's degree","None","None","2014"
"822","Software developers, systems software","15-1133","Bachelor's degree","None","None","2014"
"823","Web developers","15-1134","Associate's degree","None","None","2014"
"824","Database administrators","15-1141","Bachelor's degree","Less than 5 years","None","2014"
"825","Network and computer systems administrators","15-1142","Bachelor's degree","None","None","2014"
"826","Computer network architects","15-1143","Bachelor's degree","5 years or more","None","2014"
"827","Computer user support specialists","15-1151","Some college, no degree","None","None","2014"
"828","Computer network support specialists","15-1152","Associate's degree","None","None","2014"
"829","Computer occupations, all other","15-1199","Bachelor's degree","None","None","2014"
"830","Actuaries","15-2011","Bachelor's degree","None","Long-term on-the-job training","2014"
"831","Mathematicians","15-2021","Master's degree","None","None","2014"
"832","Operations research analysts","15-2031","Bachelor's degree","None","None","2014"
"833","Statisticians","15-2041","Master's degree","None","None","2014"
"834","Mathematical technicians","15-2091","Bachelor's degree","None","None","2014"
"835","Mathematical science occupations, all other","15-2099","Bachelor's degree","None","None","2014"
"836","Architects, except landscape and naval","17-1011","Bachelor's degree","None","Internship/residency","2014"
"837","Landscape architects","17-1012","Bachelor's degree","None","Internship/residency","2014"
"838","Cartographers and photogrammetrists","17-1021","Bachelor's degree","None","None","2014"
"839","Surveyors","17-1022","Bachelor's degree","Less than 5 years","None","2014"
"840","Aerospace engineers","17-2011","Bachelor's degree","None","None","2014"
"841","Agricultural engineers","17-2021","Bachelor's degree","None","None","2014"
"842","Biomedical engineers","17-2031","Bachelor's degree","None","None","2014"
"843","Chemical engineers","17-2041","Bachelor's degree","None","None","2014"
"844","Civil engineers","17-2051","Bachelor's degree","None","None","2014"
"845","Computer hardware engineers","17-2061","Bachelor's degree","None","None","2014"
"846","Electrical engineers","17-2071","Bachelor's degree","None","None","2014"
"847","Electronics engineers, except computer","17-2072","Bachelor's degree","None","None","2014"
"848","Environmental engineers","17-2081","Bachelor's degree","None","None","2014"
"849","Health and safety engineers, except mining safety engineers and inspectors","17-2111","Bachelor's degree","None","None","2014"
"850","Industrial engineers","17-2112","Bachelor's degree","None","None","2014"
"851","Marine engineers and naval architects","17-2121","Bachelor's degree","None","None","2014"
"852","Materials engineers","17-2131","Bachelor's degree","None","None","2014"
"853","Mechanical engineers","17-2141","Bachelor's degree","None","None","2014"
"854","Mining and geological engineers, including mining safety engineers","17-2151","Bachelor's degree","None","None","2014"
"855","Nuclear engineers","17-2161","Bachelor's degree","None","None","2014"
"856","Petroleum engineers","17-2171","Bachelor's degree","None","None","2014"
"857","Engineers, all other","17-2199","Bachelor's degree","None","None","2014"
"858","Architectural and civil drafters","17-3011","Associate's degree","None","None","2014"
"859","Electrical and electronics drafters","17-3012","Associate's degree","None","None","2014"
"860","Mechanical drafters","17-3013","Associate's degree","None","None","2014"
"861","Drafters, all other","17-3019","Associate's degree","None","None","2014"
"862","Aerospace engineering and operations technicians","17-3021","Associate's degree","None","None","2014"
"863","Civil engineering technicians","17-3022","Associate's degree","None","None","2014"
"864","Electrical and electronics engineering technicians","17-3023","Associate's degree","None","None","2014"
"865","Electro-mechanical technicians","17-3024","Associate's degree","None","None","2014"
"866","Environmental engineering technicians","17-3025","Associate's degree","None","None","2014"
"867","Industrial engineering technicians","17-3026","Associate's degree","None","None","2014"
"868","Mechanical engineering technicians","17-3027","Associate's degree","None","None","2014"
"869","Engineering technicians, except drafters, all other","17-3029","Associate's degree","None","None","2014"
"870","Surveying and mapping technicians","17-3031","High school diploma or equivalent","None","Moderate-term on-the-job training","2014"
"871","Animal scientists","19-1011","Bachelor's degree","None","None","2014"
"872","Food scientists and technologists","19-1012","Bachelor's degree","None","None","2014"
"873","Soil and plant scientists","19-1013","Bachelor's degree","None","None","2014"
"874","Biochemists and biophysicists","19-1021","Doctoral or professional degree","None","None","2014"
"875","Microbiologists","19-1022","Bachelor's degree","None","None","2014"
"876","Zoologists and wildlife biologists","19-1023","Bachelor's degree","None","None","2014"
"877","Biological scientists, all other","19-1029","Bachelor's degree","None","None","2014"
"878","Conservation scientists","19-1031","Bachelor's degree","None","None","2014"
"879","Foresters","19-1032","Bachelor's degree","None","None","2014"
"880","Epidemiologists","19-1041","Master's degree","None","None","2014"
"881","Medical scientists, except epidemiologists","19-1042","Doctoral or professional degree","None","None","2014"
"882","Life scientists, all other","19-1099","Bachelor's degree","None","None","2014"
"883","Astronomers","19-2011","Doctoral or professional degree","None","None","2014"
"884","Physicists","19-2012","Doctoral or professional degree","None","None","2014"
"885","Atmospheric and space scientists","19-2021","Bachelor's degree","None","None","2014"
"886","Chemists","19-2031","Bachelor's degree","None","None","2014"
"887","Materials scientists","19-2032","Bachelor's degree","None","None","2014"
"888","Environmental scientists and specialists, including health","19-2041","Bachelor's degree","None","None","2014"
"889","Geoscientists, except hydrologists and geographers","19-2042","Bachelor's degree","None","None","2014"
"890","Hydrologists","19-2043","Bachelor's degree","None","None","2014"
"891","Physical scientists, all other","19-2099","Bachelor's degree","None","None","2014"
"892","Economists","19-3011","Master's degree","None","None","2014"
"893","Survey researchers","19-3022","Master's degree","None","None","2014"
"894","Clinical, counseling, and school psychologists","19-3031","Doctoral or professional degree","None","Internship/residency","2014"
"895","Industrial-organizational psychologists","19-3032","Master's degree","None","Internship/residency","2014"
"896","Psychologists, all other","19-3039","Master's degree","None","Internship/residency","2014"
"897","Sociologists","19-3041","Master's degree","None","None","2014"
"898","Urban and regional planners","19-3051","Master's degree","None","None","2014"
"899","Anthropologists and archeologists","19-3091","Master's degree","None","None","2014"
"900","Geographers","19-3092","Bachelor's degree","None","None","2014"
"901","Historians","19-3093","Master's degree","None","None","2014"
"902","Political scientists","19-3094","Master's degree","None","None","2014"
"903","Social scientists and related workers, all other","19-3099","Bachelor's degree","None","None","2014"
"904","Agricultural and food science technicians","19-4011","Associate's degree","None","Moderate-term on-the-job training","2014"
"905","Biological technicians","19-4021","Bachelor's degree","None","None","2014"
"906","Chemical technicians","19-4031","Associate's degree","None","Moderate-term on-the-job training","2014"
"907","Geological and petroleum technicians","19-4041","Associate's degree","None","Moderate-term on-the-job training","2014"
"908","Nuclear technicians","19-4051","Associate's degree","None","Moderate-term on-the-job training","2014"
"909","Social science research assistants","19-4061","Bachelor's degree","None","None","2014"
"910","Environmental science and protection technicians, including health","19-4091","Associate's degree","None","None","2014"
"911","Forensic science technicians","19-4092","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"912","Forest and conservation technicians","19-4093","Associate's degree","None","None","2014"
"913","Life, physical, and social science technicians, all other","19-4099","Associate's degree","None","None","2014"
"914","Substance abuse and behavioral disorder counselors","21-1011","Bachelor's degree","None","None","2014"
"915","Educational, guidance, school, and vocational counselors","21-1012","Master's degree","None","None","2014"
"916","Marriage and family therapists","21-1013","Master's degree","None","Internship/residency","2014"
"917","Mental health counselors","21-1014","Master's degree","None","Internship/residency","2014"
"918","Rehabilitation counselors","21-1015","Master's degree","None","None","2014"
"919","Counselors, all other","21-1019","Master's degree","None","None","2014"
"920","Child, family, and school social workers","21-1021","Bachelor's degree","None","None","2014"
"921","Healthcare social workers","21-1022","Master's degree","None","None","2014"
"922","Mental health and substance abuse social workers","21-1023","Bachelor's degree","None","None","2014"
"923","Social workers, all other","21-1029","Bachelor's degree","None","None","2014"
"924","Health educators","21-1091","Bachelor's degree","None","None","2014"
"925","Probation officers and correctional treatment specialists","21-1092","Bachelor's degree","None","Short-term on-the-job training","2014"
"926","Social and human service assistants","21-1093","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"927","Community health workers","21-1094","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"928","Community and social service specialists, all other","21-1099","Master's degree","None","None","2014"
"929","Clergy","21-2011","Bachelor's degree","None","Moderate-term on-the-job training","2014"
"930","Directors, religious activities and education","21-2021","Bachelor's degree","Less than 5 years","None","2014"
"931","Religious workers, all other","21-2099","Bachelor's degree","None","None","2014"
"932","Lawyers","23-1011","Doctoral or professional degree","None","None","2014"
"933","Judicial law clerks","23-1012","Doctoral or professional degree","None","None","2014"
"934","Administrative law judges, adjudicators, and hearing officers","23-1021","Doctoral or professional degree","5 years or more","Short-term on-the-job training","2014"
"935","Arbitrators, mediators, and conciliators","23-1022","Bachelor's degree","Less than 5 years","Moderate-term on-the-job training","2014"
"936","Judges, magistrate judges, and magistrates","23-1023","Doctoral or professional degree","5 years or more","Short-term on-the-job training","2014"
"937","Paralegals and legal assistants","23-2011","Associate's degree","None","None","2014"
"938","Court reporters","23-2091","Postsecondary nondegree award","None","Short-term on-the-job training","2014"
"939","Title examiners, abstractors, and searchers","23-2093","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"940","Legal support workers, all other","23-2099","High school diploma or equivalent","None","Short-term on-the-job training","2014"
"941","Business teachers, postsecondary","25-1011","Doctoral or professional degree","None","None","2014"
"942","Computer science teachers, postsecondary","25-1021","Doctoral or professional degree","None","None","2014"
"943","Mathematical science teachers, postsecondary","25-1022","Doctoral or professional degree","None","None","2014"
"944","Architecture teachers, postsecondary","25-1031","Doctoral or professional degree","None","None","2014"
"945","Engineering teachers, postsecondary","25-1032","Doctoral or professional degree","None","None","2014"
"946","Agricultural sciences teachers, postsecondary","25-1041","Doctoral or professional degree","None","None","2014"
