"","employment","Total","median","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year","code2"
"205","First-line supervisors of mechanics, installers, and repairers",313,"49.7","49-1011","   20.03","  112.05","   98.28","   37.87","   35.99","    8.45","   0.63","2011","49-101"
"206","Computer, automated teller, and office machine repairers",305,"40.6","49-2011","    6.71","   58.26","  100.95","   61.30","   65.58","   10.98","   1.53","2011","49-201"
"207","Avionics technicians",16,"–","49-2091","    0.29","    4.18","    5.87","    3.50","    1.50","    0.53","   0.11","2011","49-209"
"208","Aircraft mechanics and service technicians",164,"44","49-3011","    3.94","   45.26","   63.80","   33.95","   15.09","    1.31","   0.82","2011","49-301"
"209","Automotive body and related repairers",140,"41.1","49-3021","   30.80","   72.38","   23.80","    8.82","    4.06","    0.14","   0.00","2011","49-302"
"210","Bus and truck mechanics and diesel engine specialists",312,"42.4","49-3031","   45.24","  152.57","   72.70","   31.51","    9.05","    0.94","   0.00","2011","49-303"
"211","Heating, air conditioning, and refrigeration mechanics and installers",338,"39.4","49-9021","   35.83","  143.99","  100.72","   43.60","   11.83","    1.69","   0.34","2011","49-902"
"212","Home appliance repairers",43,"–","49-9031","    6.11","   19.35","   10.71","    3.44","    2.71","    0.60","   0.04","2011","49-903"
"213","Electrical power-line installers and repairers",124,"40.6","49-9051","    7.07","   55.68","   39.80","   14.26","    6.32","    0.50","   0.50","2011","49-905"
"214","Maintenance and repair workers, general",422,"48.4","49-9071","   59.08","  185.68","  107.19","   44.31","   21.10","    3.38","   0.42","2011","49-907"
"215","Coin, vending, and amusement machine servicers and repairers",46,"–","49-9091","    4.78","   19.87","   12.05","    4.37","    4.60","    0.18","   0.18","2011","49-909"
"216","First-line supervisors of production and operating workers",727,"47.1","51-1011","   73.43","  284.26","  194.11","   55.98","   94.51","   21.08","   3.64","2011","51-101"
"217","Aircraft structure, surfaces, rigging, and systems assemblers",20,"–","51-2011","    3.16","    9.02","    4.76","    1.64","    1.12","    0.30","   0.00","2011","51-201"
"218","Engine and other machine assemblers",34,"–","51-2031","    4.22","   16.42","    8.30","    3.67","    1.36","    0.00","   0.00","2011","51-203"
"219","Structural metal fabricators and fitters",32,"–","51-2041","    3.90","   15.94","    8.77","    1.95","    1.31","    0.13","   0.00","2011","51-204"
"220","Bakers",207,"40.299999999999997","51-3011","   56.72","   81.97","   38.92","   12.63","   14.08","    2.07","   0.62","2011","51-301"
"221","Food and tobacco roasting, baking, and drying machine operators and tenders",12,"–","51-3091","    2.82","    5.50","    2.28","    0.49","    0.73","    0.18","   0.00","2011","51-309"
"222","Extruding and drawing machine setters, operators, and tenders, metal and plastic",13,"–","51-4021","    1.96","    6.51","    3.16","    0.87","    0.49","    0.00","   0.00","2011","51-402"
"223","Machinists",419,"45.6","51-4041","   42.32","  193.16","  126.12","   43.58","   11.31","    2.10","   0.42","2011","51-404"
"224","Tool and die makers",66,"51","51-4111","    3.96","   27.92","   22.97","    8.71","    2.24","    0.20","   0.00","2011","51-411"
"225","Prepress technicians and workers",41,"–","51-5111","    2.99","   13.41","   12.63","    3.90","    7.42","    0.57","   0.12","2011","51-511"
"226","Laundry and dry-cleaning workers",174,"44.6","51-6011","   66.29","   70.30","   23.14","    5.39","    7.83","    0.87","   0.17","2011","51-601"
"227","Pressers, textile, garment, and related materials",48,"–","51-6021","   22.85","   17.76","    5.28","    1.15","    0.67","    0.24","   0.00","2011","51-602"
"228","Sewing machine operators",169,"48","51-6031","   72.67","   63.71","   20.11","    5.24","    5.92","    1.01","   0.17","2011","51-603"
"229","Cabinetmakers and bench carpenters",66,"47.1","51-7011","   11.88","   31.02","   13.86","    3.30","    4.88","    0.79","   0.26","2011","51-701"
"230","Furniture finishers",17,"–","51-7021","    4.57","    6.65","    4.00","    0.63","    0.88","    0.19","   0.07","2011","51-702"
"231","Sawing machine setters, operators, and tenders, wood",32,"–","51-7041","   12.19","   14.14","    3.65","    1.02","    0.58","    0.35","   0.03","2011","51-704"
"232","Stationary engineers and boiler operators",95,"51.5","51-8021","    6.65","   36.77","   29.36","   10.93","    8.46","    2.38","   0.48","2011","51-802"
"233","Water and wastewater treatment plant and system operators",71,"48.4","51-8031","    3.20","   27.62","   25.21","    8.31","    5.75","    0.78","   0.14","2011","51-803"
"234","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",34,"–","51-9041","    7.04","   17.24","    6.97","    1.53","    1.12","    0.00","   0.10","2011","51-904"
"235","Furnace, kiln, oven, drier, and kettle operators and tenders",11,"–","51-9051","    0.95","    5.65","    2.85","    1.00","    0.56","    0.00","   0.00","2011","51-905"
"236","Inspectors, testers, sorters, samplers, and weighers",647,"43.6","51-9061","   75.05","  243.27","  164.99","   60.17","   81.52","   18.76","   3.23","2011","51-906"
"237","Jewelers and precious stone and metal workers",41,"–","51-9071","    7.83","   12.46","    9.35","    3.08","    5.99","    1.97","   0.33","2011","51-907"
"238","Packaging and filling machine operators and tenders",288,"39.1","51-9111","   99.36","  124.42","   42.05","   10.08","   10.08","    1.73","   0.29","2011","51-911"
"239","Photographic process workers and processing machine operators",43,"–","51-9151","    3.10","   12.21","   12.94","    3.96","    8.94","    1.33","   0.52","2011","51-915"
"240","Adhesive bonding machine operators and tenders",9,"–","51-9191","    2.21","    4.36","    1.61","    0.44","    0.29","    0.08","   0.01","2011","51-919"
"241","Flight attendants",88,"45.5","53-2031","    0.44","   13.99","   30.80","    9.77","   29.74","    2.73","   0.62","2011","53-203"
"242","Ambulance drivers and attendants, except emergency medical technicians",13,"–","53-3011","    1.64","    5.20","    3.73","    1.05","    1.01","    0.36","   0.00","2011","53-301"
"243","Taxi drivers and chauffeurs",342,"48.8","53-3041","   50.96","  127.22","   83.11","   22.57","   45.14","    9.92","   3.08","2011","53-304"
"244","Motor vehicle operators, all other",62,"51.8","53-3099","   10.29","   24.80","   15.69","    3.29","    5.77","    1.67","   0.43","2011","53-309"
"245","Railroad conductors and yardmasters",52,"43.7","53-4031","    1.14","   20.90","   17.94","    5.93","    5.67","    0.36","   0.00","2011","53-403"
"246","Parking lot attendants",73,"32.6","53-6021","   13.14","   25.70","   19.78","    5.18","    6.86","    1.61","   0.73","2011","53-602"
"247","Automotive and watercraft service attendants",76,"30.1","53-6031","   13.45","   35.57","   16.80","    4.41","    4.71","    0.76","   0.30","2011","53-603"
"248","Transportation inspectors",32,"–","53-6051","    2.18","   11.07","   10.11","    3.17","    4.74","    0.70","   0.06","2011","53-605"
"249","Transportation attendants, except flight attendants",32,"–","53-6061","    4.58","   13.22","    8.70","    1.28","    3.30","    0.80","   0.10","2011","53-606"
"250","Crane and tower operators",63,"42.7","53-7021","   10.46","   34.59","   14.24","    2.84","    0.76","    0.06","   0.06","2011","53-702"
"251","Industrial truck and tractor operators",528,"39.799999999999997","53-7051","  127.78","  270.86","   96.62","   19.54","   11.09","    1.06","   0.53","2011","53-705"
"252","Cleaners of vehicles and equipment",331,"32.700000000000003","53-7061","  112.87","  139.35","   51.97","   13.57","   11.25","    1.32","   0.66","2011","53-706"
"253","Refuse and recyclable material collectors",92,"41.3","53-7081","   29.72","   41.58","   13.25","    3.96","    2.85","    0.37","   0.18","2011","53-708"
"254","Accountants and auditors",1789.5,"43.2","13-2011","    3.58","   75.16","  143.16","  162.84","  989.59","  366.85","  48.32","2013","13-201"
"255","Actors",41.5,"–","27-2011","    1.04","    4.77","    7.80","    1.49","   20.04","    5.73","   0.62","2013","27-201"
"256","Actuaries",27,"–","15-2011","    0.00","    0.00","    0.40","    0.00","   16.55","    6.45","   3.59","2013","15-201"
"257","Adhesive bonding machine operators and tenders",10.5,"–","51-9191","    2.08","    6.27","    1.69","    0.27","    0.19","    0.00","   0.00","2013","51-919"
"258","Administrative services managers",128.5,"49.4","406090","    2.83","   21.46","   37.52","   16.45","   35.59","   13.11","   1.54","2013","406090"
"259","Advertising and promotions managers",64,"40.299999999999997","40848","    0.83","    2.88","    6.40","    3.46","   41.41","    8.13","   0.90","2013","40848"
"260","Advertising sales agents",234,"39.299999999999997","41-3011","    3.28","   26.68","   52.42","   18.02","  114.66","   17.08","   1.64","2013","41-301"
"261","Aerospace engineers",131.5,"45.1","17-2011","    0.13","    3.02","    8.55","    6.84","   63.25","   43.00","   6.71","2013","17-201"
"262","Agents and business managers of artists, performers, and athletes",53,"37","13-1011","    0.48","    4.93","   11.02","    4.77","   24.49","    4.98","   2.33","2013","13-101"
"263","Agricultural and food science technicians",30,"–","19-4011","    2.58","    8.70","    7.74","    3.15","    6.63","    0.99","   0.21","2013","19-401"
"264","Agricultural inspectors",14,"–","45-2011","    0.95","    3.71","    3.00","    1.02","    4.23","    0.69","   0.41","2013","45-201"
"265","Aircraft mechanics and service technicians",157.5,"47.5","49-3011","    4.25","   42.84","   62.37","   32.13","   13.70","    1.89","   0.32","2013","49-301"
"266","Aircraft structure, surfaces, rigging, and systems assemblers",18.5,"–","51-2011","    2.18","    7.03","    7.40","    1.15","    0.61","    0.13","   0.00","2013","51-201"
"267","Ambulance drivers and attendants, except emergency medical technicians",18.5,"–","53-3011","    1.65","    7.70","    5.42","    1.65","    1.74","    0.35","   0.00","2013","53-301"
"268","Animal control workers",11,"–","33-9011","    0.63","    4.15","    3.02","    1.43","    1.56","    0.20","   0.00","2013","33-901"
"269","Animal trainers",40,"–","39-2011","    2.44","   11.20","   10.92","    3.24","   10.40","    1.32","   0.44","2013","39-201"
"270","Appraisers and assessors of real estate",95.5,"49.9","13-2021","    0.86","   11.17","   24.26","    8.88","   39.82","    7.74","   2.77","2013","13-202"
"271","Architectural and engineering managers",120.5,"49.7","2608503","    0.36","    4.70","    8.31","    5.18","   55.43","   40.25","   6.27","2013","260850"
"272","Atmospheric and space scientists",14.5,"–","19-2021","    0.00","    0.00","    1.48","    1.33","    6.48","    3.58","   1.61","2013","19-202"
"273","Audiologists",15,"–","29-1181","    0.00","    0.40","    0.48","    0.42","    1.23","    4.92","   7.54","2013","29-118"
"274","Automotive and watercraft service attendants",93,"27.3","53-6031","   16.65","   39.80","   21.67","    6.32","    7.81","    0.74","   0.00","2013","53-603"
"275","Automotive body and related repairers",154,"43.2","49-3021","   32.34","   77.77","   29.26","   10.93","    3.23","    0.31","   0.31","2013","49-302"
"276","Avionics technicians",12,"–","49-2091","    0.23","    2.36","    5.32","    3.14","    0.90","    0.06","   0.00","2013","49-209"
"277","Bakers",203,"39.1","51-3011","   50.95","   74.50","   40.80","   15.63","   17.46","    2.84","   0.81","2013","51-301"
"278","Barbers",118,"41.2","39-5011","   15.10","   57.47","   31.62","    8.50","    4.96","    0.35","   0.12","2013","39-501"
"279","Bartenders",414.5,"31.3","35-3011","   31.09","  115.23","  147.56","   41.45","   70.05","    7.88","   1.66","2013","35-301"
"280","Bill and account collectors",191.5,"39.4","43-3011","    7.09","   54.19","   73.15","   22.98","   28.53","    4.98","   0.57","2013","43-301"
"281","Billing and posting clerks",486,"44","43-3021","   15.07","  144.83","  174.96","   66.10","   70.47","   12.15","   2.43","2013","43-302"
"282","Biological technicians",20,"–","19-4021","    0.28","    3.42","    4.20","    1.88","    7.26","    1.48","   1.48","2013","19-402"
"283","Boilermakers",20.5,"–","47-2011","    1.97","   10.00","    6.33","    1.54","    0.51","    0.08","   0.06","2013","47-201"
"284","Bookkeeping, accounting, and auditing clerks",1254.5,"50","43-3031","   35.13","  358.79","  482.98","  129.21","  204.48","   38.89","   5.02","2013","43-303"
"285","Brokerage clerks",3.5,"–","43-4011","    0.06","    0.82","    0.70","    0.59","    1.26","    0.04","   0.04","2013","43-401"
"286","Budget analysts",58.5,"43.8","13-2031","    0.23","    2.34","    8.89","    3.98","   27.14","   15.27","   0.64","2013","13-203"
"287","Bus and truck mechanics and diesel engine specialists",316,"41.7","49-3031","   44.87","  149.15","   77.74","   32.23","   10.43","    1.58","   0.00","2013","49-303"
"288","Business operations specialists, all other",223,"43.7","13-1199","    3.79","   22.52","   40.36","   21.85","   86.97","   38.58","   8.92","2013","13-119"
"289","Buyers and purchasing agents, farm products",13.5,"–","13-1021","    1.81","    3.87","    2.73","    0.74","    3.40","    0.85","   0.08","2013","13-102"
"290","Cabinetmakers and bench carpenters",46,"–","51-7011","    8.42","   22.59","    9.06","    2.76","    2.71","    0.37","   0.09","2013","51-701"
"291","Cargo and freight agents",26.5,"–","43-5011","    1.19","    6.55","    8.61","    3.58","    5.80","    0.74","   0.00","2013","43-501"
"292","Carpenters",1193.5,"42.2","47-2031","  293.60","  514.40","  247.05","   62.06","   65.64","    9.55","   1.19","2013","47-203"
"293","Chefs and head cooks",414,"38.5","35-1011","   72.86","  120.89","   93.15","   69.97","   50.92","    4.97","   1.66","2013","35-101"
"294","Chemical engineers",66,"44.7","17-2041","    0.13","    2.51","    3.30","    2.71","   38.81","   13.66","   4.88","2013","17-204"
"295","Chemical technicians",65.5,"45.3","19-4031","    2.55","   14.87","   15.52","    7.93","   18.01","    4.45","   2.16","2013","19-403"
"296","Childcare workers",1272,"37.700000000000003","39-9011","  169.18","  409.58","  338.35","  128.47","  180.62","   39.43","   6.36","2013","39-901"
"297","Chiropractors",58,"44.4","29-1011","    0.35","    0.52","    1.04","    0.17","    2.73","    1.39","  51.79","2013","29-101"
"298","Civil engineers",359,"43.6","17-2051","    0.36","    8.26","   22.26","   16.87","  204.27","   92.26","  14.36","2013","17-205"
"299","Cleaners of vehicles and equipment",331.5,"31.1","53-7061","  117.02","  140.22","   49.39","   12.27","   10.94","    0.99","   0.33","2013","53-706"
"300","Clergy",409,"51.8","21-2011","    9.00","   27.81","   46.63","   18.81","   97.75","  142.74","  66.26","2013","21-201"
"301","Coin, vending, and amusement machine servicers and repairers",36.5,"–","49-9091","    3.65","   14.64","   10.55","    4.60","    2.45","    0.55","   0.04","2013","49-909"
"302","Combined food preparation and serving workers, including fast food",360,"27.6","35-3021","   76.32","  158.04","   82.80","   20.88","   18.00","    2.88","   1.08","2013","35-302"
"303","Communications equipment operators, all other",6,"–","43-2099","    0.15","    1.34","    2.23","    0.37","    1.20","    0.63","   0.09","2013","43-209"
"304","Compensation and benefits managers",13.5,"–","442614","    0.00","    0.66","    2.66","    1.03","    6.06","    2.56","   0.51","2013","442614"
"305","Compensation, benefits, and job analysis specialists",77,"43.6","13-1141","    0.69","    8.62","   17.32","    8.09","   31.57","    9.39","   1.16","2013","13-114"
"306","Compliance officers",197,"48","13-1041","    2.17","   19.31","   36.25","   19.50","   77.62","   31.32","  10.64","2013","13-104"
"307","Computer and information research scientists",23.5,"–","15-1111","    0.00","    0.26","    1.10","    0.49","    9.00","    6.58","   6.09","2013","15-111"
"308","Computer and information systems managers",603.5,"44.3","409743","    2.41","   24.74","   89.32","   47.07","  281.23","  145.44","  13.28","2013","409743"
"309","Computer hardware engineers",90.5,"41.7","17-2061","    0.00","    4.80","    9.32","    8.33","   38.91","   23.08","   6.06","2013","17-206"
"310","Computer occupations, all other",375.5,"41.5","15-1199","    2.63","   30.42","   84.11","   54.45","  145.69","   54.07","   4.51","2013","15-119"
"311","Computer operators",98.5,"47.2","43-9011","    3.05","   21.18","   28.47","   14.68","   24.62","    5.71","   0.59","2013","43-901"
"312","Computer programmers",484.5,"42.8","15-1131","    3.39","   22.77","   63.47","   47.00","  240.80","   94.96","  12.11","2013","15-113"
"313","Computer systems analysts",516.5,"41.6","15-1121","    2.58","   21.18","   74.89","   42.35","  248.44","  114.15","  12.91","2013","15-112"
"314","Computer, automated teller, and office machine repairers",290.5,"42","49-2011","    7.55","   52.00","   94.99","   59.26","   63.04","   11.62","   2.03","2013","49-201"
"315","Construction and building inspectors",109.5,"53.3","47-4011","    3.72","   28.47","   35.26","   13.47","   23.00","    5.15","   0.44","2013","47-401"
"316","Construction laborers",1461.5,"38.799999999999997","47-2061","  458.91","  599.22","  251.38","   65.77","   73.08","   10.23","   4.38","2013","47-206"
"317","Construction managers",902,"46.9","2601198","   62.24","  237.23","  219.19","   76.67","  251.66","   47.81","   7.22","2013","260119"
"318","Cost estimators",118.5,"46.7","13-1051","    4.38","   27.25","   34.72","   13.63","   33.18","    4.62","   0.59","2013","13-105"
"319","Counter and rental clerks",120,"44.1","41-2021","   15.36","   45.24","   30.96","    8.76","   17.64","    1.68","   0.36","2013","41-202"
"320","Couriers and messengers",205.5,"46.1","43-5021","   15.41","   75.62","   66.17","   20.55","   23.63","    3.29","   0.62","2013","43-502"
"321","Court, municipal, and license clerks",83,"48.4","43-4031","    0.83","   23.57","   28.22","   11.21","   16.02","    1.83","   1.33","2013","43-403"
"322","Crane and tower operators",67,"45.1","53-7021","   11.46","   36.11","   14.00","    3.82","    1.47","    0.07","   0.00","2013","53-702"
"323","Credit analysts",30,"–","13-2041","    0.30","    2.97","    6.48","    2.10","   13.23","    4.59","   0.33","2013","13-204"
"324","Credit authorizers, checkers, and clerks",41.5,"–","43-4041","    0.50","   11.37","   13.53","    3.94","    9.75","    2.12","   0.33","2013","43-404"
"325","Crossing guards",61,"50.2","33-9091","   11.77","   25.74","   14.58","    3.78","    3.97","    0.92","   0.24","2013","33-909"
"326","Customer service representatives",2012.5,"36.700000000000003","43-4051","   80.50","  543.38","  654.06","  225.40","  426.65","   68.42","  10.06","2013","43-405"
"327","Data entry keyers",322,"41.9","43-9021","    9.02","   96.28","  107.87","   41.22","   56.35","    9.66","   1.29","2013","43-902"
"328","Database administrators",99.5,"42","15-1141","    1.00","    5.27","   13.73","    8.76","   47.06","   21.39","   2.39","2013","15-114"
"329","Dental assistants",276.5,"36.799999999999997","31-9091","    7.47","   82.67","  111.98","   49.22","   19.36","    1.38","   4.42","2013","31-909"
"330","Dental hygienists",173.5,"43.9","29-2021","    1.04","    5.38","   13.88","   91.61","   55.35","    3.47","   2.95","2013","29-202"
"331","Detectives and criminal investigators",159,"43.5","33-3021","    0.64","   11.45","   36.41","   19.56","   66.46","   20.83","   3.66","2013","33-302"
"332","Dietitians and nutritionists",113,"45.5","29-1031","    3.73","   14.24","    8.14","    4.97","   44.52","   29.83","   7.46","2013","29-103"
"333","Directors, religious activities and education",59,"45","21-2021","    1.30","    4.31","    8.91","    5.55","   22.12","   13.81","   3.01","2013","21-202"
"334","Dishwashers",286,"29","35-9021","  125.27","  111.54","   31.75","    8.01","    8.58","    1.14","   0.00","2013","35-902"
"335","Door-to-door sales workers, news and street vendors, and related workers",194.5,"46.7","41-9091","   31.12","   61.66","   48.62","   16.53","   28.98","    6.03","   1.75","2013","41-909"
"336","Earth drillers, except oil and gas",34,"–","47-5021","    5.88","   18.50","    6.77","    0.99","    1.70","    0.17","   0.00","2013","47-502"
"337","Economists",30,"–","19-3011","    0.24","    0.00","    0.18","    0.06","    7.68","   11.16","  10.71","2013","19-301"
"338","Editors",154.5,"40","27-3041","    0.77","    4.79","   14.06","    6.64","   91.16","   29.82","   7.26","2013","27-304"
"339","Electrical power-line installers and repairers",113.5,"38.9","49-9051","    5.11","   45.97","   42.34","   14.19","    5.45","    0.34","   0.00","2013","49-905"
"340","Electricians",711,"42.8","47-2111","   54.75","  265.20","  234.63","  101.67","   46.93","    5.69","   1.42","2013","47-211"
"341","Elevator installers and repairers",26.5,"–","47-4021","    1.11","   11.85","    8.75","    2.78","    1.99","    0.05","   0.00","2013","47-402"
"342","Eligibility interviewers, government programs",83.5,"45.1","43-4061","    1.00","   11.94","   21.38","   10.69","   30.23","    7.52","   0.75","2013","43-406"
"343","Emergency management directors",6.5,"–","2652332","    0.06","    0.34","    1.20","    1.03","    2.12","    1.54","   0.20","2013","265233"
"344","Emergency medical technicians and paramedics",174,"34.6","29-2041","    1.39","   24.19","   81.61","   37.24","   25.93","    2.78","   0.87","2013","29-204"
"345","Engine and other machine assemblers",26,"–","51-2031","    2.68","   13.44","    5.23","    3.33","    1.25","    0.08","   0.00","2013","51-203"
"346","Entertainers and performers, sports and related workers, all other",38,"–","27-2099","    1.67","    7.79","   10.94","    2.93","   11.55","    2.17","   0.95","2013","27-209"
"347","Environmental engineers",38,"–","17-2081","    0.15","    2.01","    1.41","    1.03","   20.25","   10.91","   2.24","2013","17-208"
"348","Explosives workers, ordnance handling experts, and blasters",8,"–","47-5031","    0.74","    2.99","    2.51","    0.93","    0.50","    0.29","   0.03","2013","47-503"
"349","Extruding and drawing machine setters, operators, and tenders, metal and plastic",11.5,"–","51-4021","    1.02","    6.53","    2.59","    1.03","    0.32","    0.00","   0.00","2013","51-402"
"350","Extruding, forming, pressing, and compacting machine setters, operators, and tenders",35.5,"–","51-9041","    6.85","   17.82","    7.95","    1.95","    0.75","    0.00","   0.18","2013","51-904"
"351","Farmers, ranchers, and other agricultural managers",936.5,"56.1","2598276","  112.38","  345.57","  185.43","   85.22","  171.38","   28.09","   8.43","2013","259827"
"352","Fence erectors",34,"–","47-4031","   12.14","   13.63","    5.75","    1.19","    1.26","    0.03","   0.00","2013","47-403"
"353","File clerks",274.5,"40.799999999999997","43-4071","   11.53","   76.59","   88.11","   35.96","   49.14","   10.98","   1.92","2013","43-407"
"354","Financial analysts",97,"38.700000000000003","13-2051","    0.19","    2.62","    7.76","    2.91","   43.94","   34.53","   5.04","2013","13-205"
"355","Financial clerks, all other",53.5,"42.7","43-3099","    0.43","    9.58","   14.71","    3.75","   17.17","    7.28","   0.59","2013","43-309"
"356","Financial examiners",14,"–","13-2061","    0.10","    0.36","    1.82","    0.62","    8.11","    2.72","   0.29","2013","13-206"
"357","Financial managers",1223,"43.8","413395","   12.23","  130.86","  232.37","   86.83","  498.98","  229.92","  30.57","2013","413395"
"358","Financial specialists, all other",88,"40.5","13-2099","    1.06","    9.15","   14.61","    7.66","   33.18","   20.15","   2.29","2013","13-209"
"359","Firefighters",300.5,"40.1","33-2011","    3.00","   48.38","  130.72","   60.40","   51.99","    5.41","   0.60","2013","33-201"
"360","First-line supervisors of construction trades and extraction workers",632.5,"46.2","47-1011","   86.65","  265.65","  163.19","   44.27","   60.72","    8.86","   2.53","2013","47-101"
"361","First-line supervisors of correctional officers",41,"–","33-1011","    0.41","    9.92","   14.10","    4.88","    8.28","    2.79","   0.66","2013","33-101"
"362","First-line supervisors of farming, fishing, and forestry workers",49,"–","45-1011","   15.83","   14.21","    8.87","    2.30","    6.22","    1.27","   0.24","2013","45-101"
"363","First-line supervisors of fire fighting and prevention workers",61,"45.6","33-1021","    0.06","    9.15","   22.51","   13.60","   11.65","    3.72","   0.24","2013","33-102"
"364","First-line supervisors of housekeeping and janitorial workers",299.5,"48.6","37-1011","   45.22","  111.11","   80.57","   24.86","   32.05","    4.19","   1.50","2013","37-101"
"365","First-line supervisors of mechanics, installers, and repairers",279,"48.1","49-1011","   17.02","  101.56","   86.21","   33.48","   32.36","    7.25","   1.12","2013","49-101"
"366","First-line supervisors of office and administrative support workers",1389.5,"45.7","43-1011","   36.13","  315.42","  407.12","  159.79","  357.10","   95.88","  19.45","2013","43-101"
"367","First-line supervisors of personal service workers",237,"44.7","39-1021","   11.61","   58.78","   66.12","   22.99","   63.52","   11.85","   2.13","2013","39-102"
"368","First-line supervisors of production and operating workers",769.5,"47.2","51-1011","   73.87","  294.72","  203.15","   68.49","  101.57","   23.09","   4.62","2013","51-101"
"369","First-line supervisors of protective service workers, all other",96.5,"47","33-1099","    2.51","   20.07","   30.78","   10.81","   22.97","    7.24","   2.22","2013","33-109"
"370","First-line supervisors of retail sales workers",3230,"43","41-1011","  184.11","  946.39","  930.24","  300.39","  720.29","  122.74","  25.84","2013","41-101"
"371","Flight attendants",88.5,"49.4","53-2031","    0.44","   12.57","   30.00","   11.86","   29.65","    3.36","   0.62","2013","53-203"
"372","Food and tobacco roasting, baking, and drying machine operators and tenders",10.5,"–","51-3091","    1.84","    4.43","    2.52","    0.78","    0.77","    0.17","   0.00","2013","51-309"
"373","Food preparation workers",876.5,"27.8","35-2021","  249.80","  328.69","  170.04","   46.45","   68.37","    9.64","   2.63","2013","35-202"
"374","Food servers, nonrestaurant",223,"33.200000000000003","35-3041","   40.81","   96.11","   49.95","   16.73","   17.17","    1.56","   0.67","2013","35-304"
"375","Food service managers",1081,"40","2612155","  104.86","  310.25","  303.76","  103.78","  218.36","   34.59","   6.49","2013","261215"
"376","Forest and conservation workers",13.5,"–","45-4011","    3.46","    2.85","    3.01","    1.22","    2.44","    0.53","   0.00","2013","45-401"
"377","Fundraisers",83.5,"42.9","13-1131","    1.25","    2.67","    7.18","    2.17","   40.50","   25.30","   4.43","2013","13-113"
"378","Furnace, kiln, oven, drier, and kettle operators and tenders",15.5,"–","51-9051","    2.48","    7.02","    3.52","    1.24","    0.95","    0.28","   0.00","2013","51-905"
"379","Furniture finishers",7,"–","51-7021","    1.72","    2.86","    1.24","    0.46","    0.60","    0.10","   0.04","2013","51-702"
"380","Gaming cage workers",11,"–","43-3041","    0.62","    4.17","    3.75","    1.23","    0.97","    0.25","   0.00","2013","43-304"
"381","Gaming managers",21.5,"–","2619460","    1.76","    6.15","    6.32","    2.24","    4.02","    0.97","   0.04","2013","261946"
"382","General and operations managers",1069.5,"45.6","11-1021","   22.46","  156.15","  252.40","   86.63","  377.53","  145.45","  29.95","2013","11-102"
"383","Glaziers",41.5,"–","47-2121","    8.18","   22.04","    8.22","    1.54","    1.45","    0.12","   0.00","2013","47-212"
"384","Graders and sorters, agricultural products",106,"42.4","45-2041","   63.39","   25.86","    9.96","    2.44","    3.92","    0.53","   0.00","2013","45-204"
"385","Hazardous materials removal workers",35,"–","47-4041","    7.35","   13.12","    7.81","    1.82","    3.85","    0.91","   0.14","2013","47-404"
"386","Health diagnosing and treating practitioners, all other",24,"–","29-1199","    0.29","    0.62","    1.82","    0.72","    3.77","   10.08","   6.70","2013","29-119"
"387","Heating, air conditioning, and refrigeration mechanics and installers",362,"41.1","49-9021","   42.35","  142.99","  111.86","   47.06","   14.84","    1.81","   0.72","2013","49-902"
"388","Highway maintenance workers",102.5,"48.1","47-4051","   13.12","   58.02","   22.86","    4.92","    3.08","    0.41","   0.20","2013","47-405"
"389","Home appliance repairers",49.5,"48.2","49-9031","    5.40","   22.37","   14.40","    4.21","    2.57","    0.40","   0.15","2013","49-903"
"390","Hosts and hostesses, restaurant, lounge, and coffee shop",279.5,"21.8","35-9031","   32.98","  100.34","   74.07","   22.08","   42.48","    5.87","   1.68","2013","35-903"
"391","Hotel, motel, and resort desk clerks",111,"30.1","43-4081","    5.99","   33.74","   39.18","   10.88","   17.65","    3.11","   0.56","2013","43-408"
"392","Human resources assistants, except payroll and timekeeping",132.5,"42.6","43-4161","    3.18","   25.44","   44.12","   17.75","   31.27","    9.80","   0.93","2013","43-416"
"393","Human resources managers",221.5,"44.3","446267","    4.87","   28.57","   46.07","   17.50","   77.08","   42.09","   5.32","2013","446267"
"394","Industrial production managers",258.5,"47.6","420700","    8.53","   48.34","   60.75","   23.78","   82.20","   31.54","   3.36","2013","420700"
"395","Industrial truck and tractor operators",547,"40","53-7051","  123.62","  276.78","  107.21","   25.16","   12.58","    1.09","   0.55","2013","53-705"
"396","Information and record clerks, all other",103.5,"44.2","43-4199","    1.66","   22.05","   31.88","   21.42","   21.42","    4.14","   1.03","2013","43-419"
"397","Inspectors, testers, sorters, samplers, and weighers",687.5,"43.8","51-9061","   73.56","  240.62","  187.69","   71.50","   92.12","   19.25","   2.75","2013","51-906"
"398","Insurance claims and policy processing clerks",258.5,"41.5","43-9041","    3.62","   66.69","   89.96","   30.24","   58.42","    8.01","   1.29","2013","43-904"
"399","Insurance sales agents",571,"45.6","41-3021","    5.71","   87.36","  150.17","   53.10","  228.97","   35.97","   9.71","2013","41-302"
"400","Interviewers, except eligibility and loan",140.5,"42.2","43-4111","    2.11","   33.44","   47.35","   22.20","   25.85","    8.01","   1.55","2013","43-411"
"401","Jewelers and precious stone and metal workers",50,"48.6","51-9071","    7.85","   15.90","   13.70","    4.25","    7.25","    1.00","   0.10","2013","51-907"
