"","employment","code","less hs","high school","some college, no degree","associate","bachelor","master","doctor/professional","year"
"611","Computer, automated teller, and office machine repairers","49-2011",2.3,18.2,30.8,21.3,22.5,4.1,0.8,"2014"
"612","Radio, cellular, and tower equipment installers and repairs(1)","49-2021",4.3,27.6,34.4,18,13.8,1.7,0.3,"2014"
"613","Telecommunications equipment installers and repairers, except line installers(1)","49-2022",4.3,27.6,34.4,18,13.8,1.7,0.3,"2014"
"614","Avionics technicians","49-2091",2.2,21.1,33.6,29.6,12.5,0.8,0,"2014"
"615","Electric motor, power tool, and related repairers","49-2092",9.4,37.9,27.1,17.8,7.7,0,0.1,"2014"
"616","Electrical and electronics installers and repairers, transportation equipment(1)","49-2093",4.1,31.4,36.8,14.3,13.3,0.1,0,"2014"
"617","Electrical and electronics repairers, commercial and industrial equipment(1)","49-2094",4.1,31.4,36.8,14.3,13.3,0.1,0,"2014"
"618","Electrical and electronics repairers, powerhouse, substation, and relay(1)","49-2095",4.1,31.4,36.8,14.3,13.3,0.1,0,"2014"
"619","Electronic equipment installers and repairers, motor vehicles","49-2096",7.1,36.7,33.9,10.1,10.4,1.5,0.3,"2014"
"620","Electronic home entertainment equipment installers and repairers","49-2097",7.2,32,33.7,14,11.2,1.7,0.2,"2014"
"621","Security and fire alarm systems installers","49-2098",7.3,42.3,29.2,10.8,9,0.9,0.5,"2014"
"622","Aircraft mechanics and service technicians","49-3011",2.5,24.9,39.3,21.3,10.7,0.9,0.3,"2014"
"623","Automotive body and related repairers","49-3021",24.7,47.4,18.1,6.8,2.6,0.3,0.1,"2014"
"624","Automotive glass installers and repairers","49-3022",20.8,47.6,24,5.1,1.8,0.7,0,"2014"
"625","Automotive service technicians and mechanics","49-3023",17.5,44.8,22.1,11,3.8,0.6,0.3,"2014"
"626","Bus and truck mechanics and diesel engine specialists","49-3031",14,45.7,25.2,11.8,2.6,0.4,0.2,"2014"
"627","Farm equipment mechanics and service technicians(1)","49-3041",12.1,46.4,25.1,12.3,3.4,0.6,0.1,"2014"
"628","Mobile heavy equipment mechanics, except engines(1)","49-3042",12.1,46.4,25.1,12.3,3.4,0.6,0.1,"2014"
"629","Rail car repairers(1)","49-3043",12.1,46.4,25.1,12.3,3.4,0.6,0.1,"2014"
"630","Motorboat mechanics and service technicians(1)","49-3051",13.4,46.7,24.4,11.2,3.6,0.6,0.1,"2014"
"631","Motorcycle mechanics(1)","49-3052",13.4,46.7,24.4,11.2,3.6,0.6,0.1,"2014"
"632","Outdoor power equipment and other small engine mechanics(1)","49-3053",13.4,46.7,24.4,11.2,3.6,0.6,0.1,"2014"
"633","Bicycle repairers(1)","49-3091",29.3,42.7,17.1,4.9,5,0.9,0.1,"2014"
"634","Recreational vehicle service technicians(1)","49-3092",29.3,42.7,17.1,4.9,5,0.9,0.1,"2014"
"635","Tire repairers and changers(1)","49-3093",29.3,42.7,17.1,4.9,5,0.9,0.1,"2014"
"636","Mechanical door repairers(1)","49-9011",6.7,48.2,31,9.1,4.9,0.1,0,"2014"
"637","Control and valve installers and repairers, except mechanical door(1)","49-9012",6.7,48.2,31,9.1,4.9,0.1,0,"2014"
"638","Heating, air conditioning, and refrigeration mechanics and installers","49-9021",10.9,40,29.7,14,4.6,0.6,0.2,"2014"
"639","Home appliance repairers","49-9031",12,40,29.4,12.3,5,1,0.2,"2014"
"640","Industrial machinery mechanics(1)","49-9041",10.5,41,29.5,12.9,5.3,0.7,0.1,"2014"
"641","Maintenance workers, machinery","49-9043",11.5,44.2,28.8,9.8,5.1,0.6,0,"2014"
"642","Millwrights","49-9044",10.1,44.3,31.5,10.5,3.1,0.4,0.1,"2014"
"643","Refractory materials repairers, except brickmasons(1)","49-9045",10.5,41,29.5,12.9,5.3,0.7,0.1,"2014"
"644","Electrical power-line installers and repairers","49-9051",4.4,40.7,32.1,14.6,7.1,1.1,0,"2014"
"645","Telecommunications line installers and repairers","49-9052",6,38.1,33.1,13.3,8.3,1,0.2,"2014"
"646","Camera and photographic equipment repairers(1)","49-9061",4.1,21.4,28.5,21.4,19,4.3,1.3,"2014"
"647","Medical equipment repairers(1)","49-9062",4.1,21.4,28.5,21.4,19,4.3,1.3,"2014"
"648","Musical instrument repairers and tuners(1)","49-9063",4.1,21.4,28.5,21.4,19,4.3,1.3,"2014"
"649","Watch repairers(1)","49-9064",4.1,21.4,28.5,21.4,19,4.3,1.3,"2014"
"650","Precision instrument and equipment repairers, all other(1)","49-9069",4.1,21.4,28.5,21.4,19,4.3,1.3,"2014"
"651","Maintenance and repair workers, general","49-9071",14,40.5,27.1,10.5,6.5,1.1,0.2,"2014"
"652","Wind turbine service technicians(1)","49-9081",13.8,39.9,26.9,9.7,7.9,1.5,0.3,"2014"
"653","Coin, vending, and amusement machine servicers and repairers","49-9091",6.6,40.8,28.7,11.2,10.6,1.5,0.6,"2014"
"654","Commercial divers(1)","49-9092",13.8,39.9,26.9,9.7,7.9,1.5,0.3,"2014"
"655","Fabric menders, except garment(1)","49-9093",13.8,39.9,26.9,9.7,7.9,1.5,0.3,"2014"
"656","Locksmiths and safe repairers","49-9094",9.5,46,33,6,4.5,0.9,0.2,"2014"
"657","Manufactured building and mobile home installers(1)","49-9095",13.8,39.9,26.9,9.7,7.9,1.5,0.3,"2014"
"658","Riggers","49-9096",7.3,51.6,24.5,7,8.8,0.8,0,"2014"
"659","Signal and track switch repairers(1)","49-9097",13.8,39.9,26.9,9.7,7.9,1.5,0.3,"2014"
"660","Helpers--installation, maintenance, and repair workers","49-9098",32.6,40.3,16.9,7,3.3,0,0,"2014"
"661","Installation, maintenance, and repair workers, all other(1)","49-9099",13.8,39.9,26.9,9.7,7.9,1.5,0.3,"2014"
"662","First-line supervisors of production and operating workers","51-1011",10.2,37.8,26.4,9,12.8,3.1,0.7,"2014"
"663","Aircraft structure, surfaces, rigging, and systems assemblers","51-2011",10.5,49.4,27.9,5.1,5.1,0.9,1,"2014"
"664","Coil winders, tapers, and finishers(1)","51-2021",18.8,44.3,21.4,8.4,6.1,0.6,0.3,"2014"
"665","Electrical and electronic equipment assemblers(1)","51-2022",18.8,44.3,21.4,8.4,6.1,0.6,0.3,"2014"
"666","Electromechanical equipment assemblers(1)","51-2023",18.8,44.3,21.4,8.4,6.1,0.6,0.3,"2014"
"667","Engine and other machine assemblers","51-2031",14.9,41.4,26.7,11.4,4.6,0,1,"2014"
"668","Structural metal fabricators and fitters","51-2041",15.2,44.7,25.8,9.2,4.6,0.4,0.1,"2014"
"669","Fiberglass laminators and fabricators(1)","51-2091",17.8,46.6,22.3,6.8,5.7,0.7,0.1,"2014"
"670","Team assemblers(1)","51-2092",17.8,46.6,22.3,6.8,5.7,0.7,0.1,"2014"
"671","Timing device assemblers and adjusters(1)","51-2093",17.8,46.6,22.3,6.8,5.7,0.7,0.1,"2014"
"672","Assemblers and fabricators, all other(1)","51-2099",17.8,46.6,22.3,6.8,5.7,0.7,0.1,"2014"
"673","Bakers","51-3011",23.4,38.3,20.9,7.3,8.7,0.9,0.5,"2014"
"674","Butchers and meat cutters(1)","51-3021",32.8,41.9,17.3,3.8,3.6,0.5,0.2,"2014"
"675","Meat, poultry, and fish cutters and trimmers(1)","51-3022",32.8,41.9,17.3,3.8,3.6,0.5,0.2,"2014"
"676","Slaughterers and meat packers(1)","51-3023",32.8,41.9,17.3,3.8,3.6,0.5,0.2,"2014"
"677","Food and tobacco roasting, baking, and drying machine operators and tenders","51-3091",22.8,38.1,25.9,3.9,7.7,1,0.6,"2014"
"678","Food batchmakers","51-3092",20.4,41.6,20.5,8.5,7.8,1,0.2,"2014"
"679","Food cooking machine operators and tenders","51-3093",27.7,37.9,24.7,4.7,5.1,0,0,"2014"
"680","Food processing workers, all other","51-3099",29.9,43.8,16.7,4.5,3.9,0.9,0.4,"2014"
"681","Computer-controlled machine tool operators, metal and plastic(1)","51-4011",6.3,40.1,33.8,12.1,6.7,0.9,0.1,"2014"
"682","Computer numerically controlled machine tool programmers, metal and plastic(1)","51-4012",6.3,40.1,33.8,12.1,6.7,0.9,0.1,"2014"
"683","Extruding and drawing machine setters, operators, and tenders, metal and plastic","51-4021",13.3,52.9,26,5.2,2.3,0.3,0,"2014"
"684","Forging machine setters, operators, and tenders, metal and plastic","51-4022",16.4,54.8,17.9,4.9,6.1,0,0,"2014"
"685","Rolling machine setters, operators, and tenders, metal and plastic","51-4023",18.8,45.5,22.6,6.1,5.6,1.4,0,"2014"
"686","Cutting, punching, and press machine setters, operators, and tenders, metal and plastic(1)","51-4031",21.1,50.2,19.3,4.9,3.9,0.5,0.1,"2014"
"687","Drilling and boring machine tool setters, operators, and tenders, metal and plastic(1)","51-4032",21.1,50.2,19.3,4.9,3.9,0.5,0.1,"2014"
"688","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic(1)","51-4033",21.1,50.2,19.3,4.9,3.9,0.5,0.1,"2014"
"689","Lathe and turning machine tool setters, operators, and tenders, metal and plastic(1)","51-4034",21.1,50.2,19.3,4.9,3.9,0.5,0.1,"2014"
"690","Milling and planing machine setters, operators, and tenders, metal and plastic(1)","51-4035",21.1,50.2,19.3,4.9,3.9,0.5,0.1,"2014"
"691","Machinists","51-4041",10.7,45.3,27.9,11.9,3.8,0.3,0.1,"2014"
"692","Metal-refining furnace operators and tenders(1)","51-4051",13.8,54.3,19.2,7.9,4.3,0.5,0,"2014"
"693","Pourers and casters, metal(1)","51-4052",13.8,54.3,19.2,7.9,4.3,0.5,0,"2014"
"694","Model makers, metal and plastic(1)","51-4061",16.6,47,21.5,7.8,7,0.2,0,"2014"
"695","Patternmakers, metal and plastic(1)","51-4062",16.6,47,21.5,7.8,7,0.2,0,"2014"
"696","Foundry mold and coremakers(1)","51-4071",16.6,47,21.5,7.8,7,0.2,0,"2014"
"697","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic(1)","51-4072",16.6,47,21.5,7.8,7,0.2,0,"2014"
"698","Multiple machine tool setters, operators, and tenders, metal and plastic(1)","51-4081",19.5,47.6,22.4,6.4,3.5,0.6,0.1,"2014"
"699","Tool and die makers","51-4111",6.5,41.8,32.2,15.7,3.1,0.4,0.2,"2014"
"700","Welders, cutters, solderers, and brazers(1)","51-4121",20.4,46.8,23,7.1,2.3,0.3,0.1,"2014"
"701","Welding, soldering, and brazing machine setters, operators, and tenders(1)","51-4122",20.4,46.8,23,7.1,2.3,0.3,0.1,"2014"
"702","Heat treating equipment setters, operators, and tenders, metal and plastic(1)","51-4191",19.5,47.6,22.4,6.4,3.5,0.6,0.1,"2014"
"703","Layout workers, metal and plastic(1)","51-4192",19.5,47.6,22.4,6.4,3.5,0.6,0.1,"2014"
"704","Plating and coating machine setters, operators, and tenders, metal and plastic(1)","51-4193",19.5,47.6,22.4,6.4,3.5,0.6,0.1,"2014"
"705","Tool grinders, filers, and sharpeners(1)","51-4194",19.5,47.6,22.4,6.4,3.5,0.6,0.1,"2014"
"706","Metal workers and plastic workers, all other(1)","51-4199",19.5,47.6,22.4,6.4,3.5,0.6,0.1,"2014"
"707","Prepress technicians and workers","51-5111",8.7,32.5,28,15,13.3,2.2,0.2,"2014"
"708","Printing press operators","51-5112",12.2,45.9,25.3,7.3,8.5,0.7,0.1,"2014"
"709","Print binding and finishing workers","51-5113",10.2,54.1,21.6,5,7.2,1.7,0.1,"2014"
"710","Laundry and dry-cleaning workers","51-6011",32.9,41.5,16.1,3.8,4.7,0.8,0.2,"2014"
"711","Pressers, textile, garment, and related materials","51-6021",45.3,36,12.5,3,3,0.1,0,"2014"
"712","Sewing machine operators","51-6031",42.1,35.3,12.5,4.6,4.8,0.6,0.1,"2014"
"713","Shoe and leather workers and repairers(1)","51-6041",27.4,45.3,13.4,3.9,5.5,3.3,1.2,"2014"
"714","Shoe machine operators and tenders(1)","51-6042",27.4,45.3,13.4,3.9,5.5,3.3,1.2,"2014"
"715","Sewers, hand(1)","51-6051",26.1,31.3,20,7.1,12.2,2.8,0.5,"2014"
"716","Tailors, dressmakers, and custom sewers(1)","51-6052",26.1,31.3,20,7.1,12.2,2.8,0.5,"2014"
"717","Textile bleaching and dyeing machine operators and tenders(1)","51-6061",29.6,46.5,12.9,4.8,5,0.6,0.6,"2014"
"718","Textile cutting machine setters, operators, and tenders(1)","51-6062",29.6,46.5,12.9,4.8,5,0.6,0.6,"2014"
"719","Textile knitting and weaving machine setters, operators, and tenders","51-6063",25.5,39.7,20.1,1.3,8.8,3.6,0.9,"2014"
"720","Textile winding, twisting, and drawing out machine setters, operators, and tenders","51-6064",36.1,42.7,15.1,1.9,0.5,0.8,2.9,"2014"
"721","Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers(1)","51-6091",31.5,37.3,14.2,6.1,9.5,1.2,0.3,"2014"
"722","Fabric and apparel patternmakers(1)","51-6092",31.5,37.3,14.2,6.1,9.5,1.2,0.3,"2014"
"723","Upholsterers","51-6093",33.2,39.1,16.6,5.4,3.7,1.8,0.3,"2014"
"724","Textile, apparel, and furnishings workers, all other(1)","51-6099",31.5,37.3,14.2,6.1,9.5,1.2,0.3,"2014"
"725","Cabinetmakers and bench carpenters","51-7011",19.1,44,19.4,7.3,8.7,1.3,0.1,"2014"
"726","Furniture finishers","51-7021",26.1,40.7,20.2,3.6,7.5,1.8,0,"2014"
"727","Model makers, wood(1)","51-7031",18.4,36.7,21.1,9.4,11.5,2.5,0.4,"2014"
"728","Patternmakers, wood(1)","51-7032",18.4,36.7,21.1,9.4,11.5,2.5,0.4,"2014"
"729","Sawing machine setters, operators, and tenders, wood","51-7041",29.7,49.6,14.1,4.3,2.1,0,0,"2014"
"730","Woodworking machine setters, operators, and tenders, except sawing","51-7042",23.6,55.4,11.1,5.1,4,0.8,0,"2014"
"731","Woodworkers, all other(1)","51-7099",18.4,36.7,21.1,9.4,11.5,2.5,0.4,"2014"
"732","Nuclear power reactor operators(1)","51-8011",1.4,30.6,32.1,18.3,14.6,2.7,0.3,"2014"
"733","Power distributors and dispatchers(1)","51-8012",1.4,30.6,32.1,18.3,14.6,2.7,0.3,"2014"
"734","Power plant operators(1)","51-8013",1.4,30.6,32.1,18.3,14.6,2.7,0.3,"2014"
"735","Stationary engineers and boiler operators","51-8021",6.1,39.2,31.7,10.6,10.1,1.7,0.6,"2014"
"736","Water and wastewater treatment plant and system operators","51-8031",3.9,38.2,33.5,12.7,9.9,1.3,0.5,"2014"
"737","Chemical plant and system operators(1)","51-8091",4.8,38.6,31.9,11.3,12.6,0.6,0.1,"2014"
"738","Gas plant operators(1)","51-8092",4.8,38.6,31.9,11.3,12.6,0.6,0.1,"2014"
"739","Petroleum pump system operators, refinery operators, and gaugers(1)","51-8093",4.8,38.6,31.9,11.3,12.6,0.6,0.1,"2014"
"740","Plant and system operators, all other(1)","51-8099",4.8,38.6,31.9,11.3,12.6,0.6,0.1,"2014"
"741","Chemical equipment operators and tenders(1)","51-9011",6.6,35.8,25.2,9,19.2,3.4,0.8,"2014"
"742","Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders(1)","51-9012",6.6,35.8,25.2,9,19.2,3.4,0.8,"2014"
"743","Crushing, grinding, and polishing machine setters, operators, and tenders(1)","51-9021",19.4,45.1,22.4,5.5,6.6,0.6,0.4,"2014"
"744","Grinding and polishing workers, hand(1)","51-9022",19.4,45.1,22.4,5.5,6.6,0.6,0.4,"2014"
"745","Mixing and blending machine setters, operators, and tenders(1)","51-9023",19.4,45.1,22.4,5.5,6.6,0.6,0.4,"2014"
"746","Cutters and trimmers, hand(1)","51-9031",30.4,46.9,14.9,4.2,2.8,0.6,0.2,"2014"
"747","Cutting and slicing machine setters, operators, and tenders(1)","51-9032",30.4,46.9,14.9,4.2,2.8,0.6,0.2,"2014"
"748","Extruding, forming, pressing, and compacting machine setters, operators, and tenders","51-9041",18.6,51.7,20.2,4.4,3.1,1.4,0.6,"2014"
"749","Furnace, kiln, oven, drier, and kettle operators and tenders","51-9051",26,44.1,20,4.7,5.1,0,0.1,"2014"
"750","Inspectors, testers, sorters, samplers, and weighers","51-9061",10.7,36.3,26.4,10,13.1,2.8,0.6,"2014"
"751","Jewelers and precious stone and metal workers","51-9071",18.1,30.6,22.3,6.7,19.1,2.2,1.1,"2014"
"752","Dental laboratory technicians(1)","51-9081",6,30.3,29.7,16.3,14.8,1.8,1.1,"2014"
"753","Medical appliance technicians(1)","51-9082",6,30.3,29.7,16.3,14.8,1.8,1.1,"2014"
"754","Ophthalmic laboratory technicians(1)","51-9083",6,30.3,29.7,16.3,14.8,1.8,1.1,"2014"
"755","Packaging and filling machine operators and tenders","51-9111",34.7,42.1,14.9,3.8,3.7,0.5,0.3,"2014"
"756","Coating, painting, and spraying machine setters, operators, and tenders(1)","51-9121",22.6,47.9,19.2,5.6,4.1,0.4,0.1,"2014"
"757","Painters, transportation equipment(1)","51-9122",22.6,47.9,19.2,5.6,4.1,0.4,0.1,"2014"
"758","Painting, coating, and decorating workers(1)","51-9123",22.6,47.9,19.2,5.6,4.1,0.4,0.1,"2014"
"759","Semiconductor processors(1)","51-9141",20.1,45.5,21.4,6.3,5.6,0.9,0.2,"2014"
"760","Photographic process workers and processing machine operators","51-9151",3.2,32.1,28.7,9.1,23.6,2.6,0.8,"2014"
"761","Adhesive bonding machine operators and tenders","51-9191",17.3,55.3,21.8,2.1,3,0.5,0,"2014"
"762","Cleaning, washing, and metal pickling equipment operators and tenders(1)","51-9192",20.1,45.5,21.4,6.3,5.6,0.9,0.2,"2014"
"763","Cooling and freezing equipment operators and tenders(1)","51-9193",20.1,45.5,21.4,6.3,5.6,0.9,0.2,"2014"
"764","Etchers and engravers","51-9194",7.9,38.1,27.3,10.3,13.4,2.2,0.7,"2014"
"765","Molders, shapers, and casters, except metal and plastic","51-9195",21.9,37.2,18.6,4.3,13.1,3.7,1.3,"2014"
"766","Paper goods machine setters, operators, and tenders","51-9196",15.1,50.5,24.1,4.9,5.1,0.2,0,"2014"
"767","Tire builders","51-9197",2.8,55.3,30.6,6,4.7,0.6,0,"2014"
"768","Helpers--production workers","51-9198",35.9,36.1,15,4.3,6.7,1.4,0.5,"2014"
"769","Production workers, all other(1)","51-9199",20.1,45.5,21.4,6.3,5.6,0.9,0.2,"2014"
"770","Aircraft cargo handling supervisors(1)","53-1011",8.2,34.5,29.5,8.5,16.3,2.7,0.3,"2014"
"771","First-line supervisors of helpers, laborers, and material movers, hand(1)","53-1021",8.2,34.5,29.5,8.5,16.3,2.7,0.3,"2014"
"772","First-line supervisors of transportation and material-moving machine and vehicle operators(1)","53-1031",8.2,34.5,29.5,8.5,16.3,2.7,0.3,"2014"
"773","Airline pilots, copilots, and flight engineers(1)","53-2011",0.2,4.7,12.3,7.9,59.9,12.9,2.1,"2014"
"774","Commercial pilots(1)","53-2012",0.2,4.7,12.3,7.9,59.9,12.9,2.1,"2014"
"775","Air traffic controllers(1)","53-2021",0.6,10.2,34.2,14.2,34.4,5.2,1.2,"2014"
"776","Airfield operations specialists(1)","53-2022",0.6,10.2,34.2,14.2,34.4,5.2,1.2,"2014"
"777","Flight attendants","53-2031",1.4,12.1,33.8,13.8,32.9,4.6,1.5,"2014"
"778","Ambulance drivers and attendants, except emergency medical technicians","53-3011",5.8,36.8,35.8,7.9,10.6,2.6,0.6,"2014"
"779","Bus drivers, transit and intercity(1)","53-3021",8.4,44,29.6,8.5,7.2,2,0.4,"2014"
"780","Bus drivers, school or special client(1)","53-3022",8.4,44,29.6,8.5,7.2,2,0.4,"2014"
"781","Driver/sales workers(1)","53-3031",16.4,48.1,23.2,6,5.3,0.8,0.2,"2014"
"782","Heavy and tractor-trailer truck drivers(1)","53-3032",16.4,48.1,23.2,6,5.3,0.8,0.2,"2014"
"783","Light truck or delivery services drivers(1)","53-3033",16.4,48.1,23.2,6,5.3,0.8,0.2,"2014"
"784","Taxi drivers and chauffeurs","53-3041",14.5,36.4,23.7,7.7,13.4,3.5,0.7,"2014"
"785","Motor vehicle operators, all other","53-3099",11.3,43.6,23.3,9.1,10.3,1.7,0.8,"2014"
"786","Locomotive engineers(1)","53-4011",2.4,40.1,35,10.9,10,1,0.6,"2014"
"787","Locomotive firers(1)","53-4012",2.4,40.1,35,10.9,10,1,0.6,"2014"
"788","Rail yard engineers, dinkey operators, and hostlers(1)","53-4013",2.4,40.1,35,10.9,10,1,0.6,"2014"
"789","Railroad brake, signal, and switch operators(1)","53-4021",4,41.3,36.6,9.5,6.9,1.7,0,"2014"
"790","Railroad conductors and yardmasters","53-4031",0.9,35.6,37.3,10.9,13.7,0.9,0.7,"2014"
"791","Subway and streetcar operators(1)","53-4041",4,41.3,36.6,9.5,6.9,1.7,0,"2014"
"792","Rail transportation workers, all other(1)","53-4099",4,41.3,36.6,9.5,6.9,1.7,0,"2014"
"793","Sailors and marine oilers(1)","53-5011",9.8,38.4,30.3,4.9,11.7,4.8,0.2,"2014"
"794","Captains, mates, and pilots of water vessels(1)","53-5021",8.9,35.7,26.5,5.5,19.4,2.8,1.3,"2014"
"795","Motorboat operators(1)","53-5022",8.9,35.7,26.5,5.5,19.4,2.8,1.3,"2014"
"796","Ship engineers(1)","53-5031",9.8,38.4,30.3,4.9,11.7,4.8,0.2,"2014"
"797","Bridge and lock tenders(1)","53-6011",3.5,41.8,29.2,12.1,10.3,2.5,0.6,"2014"
"798","Parking lot attendants","53-6021",16.1,36.4,25.4,7.4,12.6,1.8,0.3,"2014"
"799","Automotive and watercraft service attendants","53-6031",17.5,46.3,23.7,4.9,6,1.4,0.2,"2014"
"800","Traffic technicians(1)","53-6041",3.5,41.8,29.2,12.1,10.3,2.5,0.6,"2014"
"801","Transportation inspectors","53-6051",6.1,34.1,29.1,15.5,11.5,3.2,0.5,"2014"
"802","Transportation attendants, except flight attendants","53-6061",11.6,39.2,30.6,6.3,10.4,1.5,0.4,"2014"
"803","Transportation workers, all other(1)","53-6099",3.5,41.8,29.2,12.1,10.3,2.5,0.6,"2014"
"804","Conveyor operators and tenders(1)","53-7011",20.1,53.4,12.4,7.2,6.2,0.4,0.3,"2014"
"805","Crane and tower operators","53-7021",17.5,49.1,24.7,4.5,3.5,0.7,0.1,"2014"
"806","Dredge operators(1)","53-7031",20.5,53.8,18.2,3.9,2.8,0.7,0,"2014"
"807","Excavating and loading machine and dragline operators(1)","53-7032",20.5,53.8,18.2,3.9,2.8,0.7,0,"2014"
"808","Loading machine operators, underground mining(1)","53-7033",20.5,53.8,18.2,3.9,2.8,0.7,0,"2014"
"809","Hoist and winch operators(1)","53-7041",20.1,53.4,12.4,7.2,6.2,0.4,0.3,"2014"
"810","Industrial truck and tractor operators","53-7051",22,51.1,19.7,4.1,2.7,0.3,0,"2014"
"811","Cleaners of vehicles and equipment","53-7061",30.9,42,17.1,4.7,4.3,0.8,0.2,"2014"
"812","Laborers and freight, stock, and material movers, hand","53-7062",18.9,46.8,21.8,5.9,5.6,0.7,0.2,"2014"
"813","Machine feeders and offbearers","53-7063",20,47,20.9,5.8,5,1.4,0,"2014"
"814","Packers and packagers, hand","53-7064",35.9,39.9,15.5,3.9,4.2,0.5,0.2,"2014"
"815","Gas compressor and gas pumping station operators(1)","53-7071",11.2,47.4,26,6.7,8.3,0.4,0,"2014"
"816","Pump operators, except wellhead pumpers(1)","53-7072",11.2,47.4,26,6.7,8.3,0.4,0,"2014"
"817","Wellhead pumpers(1)","53-7073",11.2,47.4,26,6.7,8.3,0.4,0,"2014"
"818","Refuse and recyclable material collectors","53-7081",27.8,47.1,16.8,4.9,2.9,0.4,0.1,"2014"
"819","Mine shuttle car operators(1)","53-7111",16.7,49.1,21.9,7.3,4,0.8,0.2,"2014"
"820","Tank car, truck, and ship loaders(1)","53-7121",16.7,49.1,21.9,7.3,4,0.8,0.2,"2014"
"821","Material moving workers, all other(1)","53-7199",16.7,49.1,21.9,7.3,4,0.8,0.2,"2014"
"822","Total, all occupations","00-0000",8.9,24.6,21.7,9.3,22.1,9.4,4.1,"2012"
"823","Chief executives(1)","11-1011",1.5,9.2,15.2,5.3,40.3,21.3,7.2,"2012"
"824","General and operations managers","11-1021",2.1,14.6,23.6,8.1,35.3,13.6,2.8,"2012"
"825","Legislators(1)","11-1031",1.5,9.2,15.2,5.3,40.3,21.3,7.2,"2012"
"826","Advertising and promotions managers","40848",1.3,4.5,10,5.4,64.7,12.7,1.4,"2012"
"827","Marketing managers(1)","44501",1,8.1,16.1,6.4,50.1,16.8,1.5,"2012"
"828","Sales managers(1)","44866",1,8.1,16.1,6.4,50.1,16.8,1.5,"2012"
"829","Public relations and fundraising managers","48153",0,3.2,6.2,5,53.7,27.3,4.5,"2012"
"830","Administrative services managers","406090",2.2,16.7,29.2,12.8,27.7,10.2,1.2,"2012"
"831","Computer and information systems managers","409743",0.4,4.1,14.8,7.8,46.6,24.1,2.2,"2012"
"832","Financial managers","413395",1,10.7,19,7.1,40.8,18.8,2.5,"2012"
"833","Industrial production managers","420700",3.3,18.7,23.5,9.2,31.8,12.2,1.3,"2012"
"834","Purchasing managers","424353",1.2,11.1,18.4,7.8,40.8,17.9,2.8,"2012"
"835","Transportation, storage, and distribution managers","428005",5.5,29.7,25.6,8.9,22.4,7.5,0.5,"2012"
"836","Compensation and benefits managers","442614",0,4.9,19.7,7.6,44.9,19,3.8,"2012"
"837","Human resources managers","446267",2.2,12.9,20.8,7.9,34.8,19,2.4,"2012"
"838","Training and development managers","449919",0.5,5.5,17,9.4,41.1,23.4,3.1,"2012"
"839","Farmers, ranchers, and other agricultural managers","2598276",12,36.9,19.8,9.1,18.3,3,0.9,"2012"
"840","Construction managers","2601198",6.9,26.3,24.3,8.5,27.9,5.3,0.8,"2012"
"841","Education administrators, preschool and childcare center/program(1)","2604850",0.7,4.6,8,5,23.5,44.8,13.2,"2012"
"842","Education administrators, elementary and secondary school(1)","2605216",0.7,4.6,8,5,23.5,44.8,13.2,"2012"
"843","Education administrators, postsecondary(1)","2605581",0.7,4.6,8,5,23.5,44.8,13.2,"2012"
"844","Education administrators, all other(1)","2607772",0.7,4.6,8,5,23.5,44.8,13.2,"2012"
"845","Architectural and engineering managers","2608503",0.3,3.9,6.9,4.3,46,33.4,5.2,"2012"
"846","Food service managers","2612155",9.7,28.7,28.1,9.6,20.2,3.2,0.6,"2012"
"847","Funeral service managers(1)","2615808",2.7,14.4,19,8,35.1,17.2,3.6,"2012"
"848","Gaming managers","2619460",8.2,28.6,29.4,10.4,18.7,4.5,0.2,"2012"
"849","Lodging managers","2623113",5,18.8,24.1,9.3,33.2,7.8,1.9,"2012"
"850","Medical and health services managers","2634069",0.9,7.8,15.3,12.2,32,23.8,8,"2012"
"851","Natural sciences managers","2637722",0.6,1.4,4,2.3,33.2,31.4,27.2,"2012"
"852","Postmasters and mail superintendents(1)","2641374",2.7,14.4,19,8,35.1,17.2,3.6,"2012"
"853","Property, real estate, and community association managers","2645027",4.7,19.2,28.1,8.6,29,8.2,2.2,"2012"
"854","Social and community service managers","2648679",1.4,8.1,14.5,6.4,37.5,27.5,4.6,"2012"
"855","Emergency management directors","2652332",1,5.3,18.4,15.9,32.6,23.7,3,"2012"
"856","Managers, all other(1)","2666211",2.7,14.4,19,8,35.1,17.2,3.6,"2012"
"857","Agents and business managers of artists, performers, and athletes","13-1011",0.9,9.3,20.8,9,46.2,9.4,4.4,"2012"
"858","Buyers and purchasing agents, farm products","13-1021",13.4,28.7,20.2,5.5,25.2,6.3,0.6,"2012"
"859","Wholesale and retail buyers, except farm products","13-1022",4.4,23.8,26.8,9.9,30.7,4.1,0.4,"2012"
"860","Purchasing agents, except wholesale, retail, and farm products","13-1023",1.9,18,25.7,10.8,33.4,9.7,0.5,"2012"
"861","Claims adjusters, examiners, and investigators(1)","13-1031",0.6,16.5,25.1,9.5,39.8,6.6,1.9,"2012"
