employment,code,degrees,number,year
Financial examiners,13-2061,master,22.4,2010
Financial examiners,13-2061,doctor/professional,4.3,2010
Credit counselors,13-2071,less hs,0.8,2010
Credit counselors,13-2071,high school,14.7,2010
Credit counselors,13-2071,"some college, no degree",24.2,2010
Credit counselors,13-2071,associate,9.2,2010
Credit counselors,13-2071,bachelor,41.1,2010
Credit counselors,13-2071,master,9.1,2010
Credit counselors,13-2071,doctor/professional,0.9,2010
Loan officers,13-2072,less hs,0.8,2010
Loan officers,13-2072,high school,14.7,2010
Loan officers,13-2072,"some college, no degree",24.2,2010
Loan officers,13-2072,associate,9.2,2010
Loan officers,13-2072,bachelor,41.1,2010
Loan officers,13-2072,master,9.1,2010
Loan officers,13-2072,doctor/professional,0.9,2010
"Tax examiners and collectors, and revenue agents",13-2081,less hs,1.4,2010
"Tax examiners and collectors, and revenue agents",13-2081,high school,16.3,2010
"Tax examiners and collectors, and revenue agents",13-2081,"some college, no degree",23.9,2010
"Tax examiners and collectors, and revenue agents",13-2081,associate,9.9,2010
"Tax examiners and collectors, and revenue agents",13-2081,bachelor,37.9,2010
"Tax examiners and collectors, and revenue agents",13-2081,master,9.4,2010
"Tax examiners and collectors, and revenue agents",13-2081,doctor/professional,1.4,2010
Tax preparers,13-2082,less hs,2.7,2010
Tax preparers,13-2082,high school,13.4,2010
Tax preparers,13-2082,"some college, no degree",24.5,2010
Tax preparers,13-2082,associate,9.5,2010
Tax preparers,13-2082,bachelor,33.2,2010
Tax preparers,13-2082,master,12.5,2010
Tax preparers,13-2082,doctor/professional,4.2,2010
"Financial specialists, all other",13-2099,less hs,1.3,2010
"Financial specialists, all other",13-2099,high school,10.3,2010
"Financial specialists, all other",13-2099,"some college, no degree",21.4,2010
"Financial specialists, all other",13-2099,associate,7.5,2010
"Financial specialists, all other",13-2099,bachelor,38.5,2010
"Financial specialists, all other",13-2099,master,18.4,2010
"Financial specialists, all other",13-2099,doctor/professional,2.6,2010
Computer and information research scientists,15-1111,less hs,0.5,2010
Computer and information research scientists,15-1111,high school,1.5,2010
Computer and information research scientists,15-1111,"some college, no degree",3.9,2010
Computer and information research scientists,15-1111,associate,2.7,2010
Computer and information research scientists,15-1111,bachelor,42.5,2010
Computer and information research scientists,15-1111,master,30.1,2010
Computer and information research scientists,15-1111,doctor/professional,19,2010
Computer systems analysts,15-1121,less hs,0.5,2010
Computer systems analysts,15-1121,high school,4.7,2010
Computer systems analysts,15-1121,"some college, no degree",14.9,2010
Computer systems analysts,15-1121,associate,8.2,2010
Computer systems analysts,15-1121,bachelor,47.6,2010
Computer systems analysts,15-1121,master,21.8,2010
Computer systems analysts,15-1121,doctor/professional,2.3,2010
Information security analysts,15-1122,less hs,0.6,2010
Information security analysts,15-1122,high school,6.4,2010
Information security analysts,15-1122,"some college, no degree",22,2010
Information security analysts,15-1122,associate,14.4,2010
Information security analysts,15-1122,bachelor,34,2010
Information security analysts,15-1122,master,21,2010
Information security analysts,15-1122,doctor/professional,1.6,2010
Computer programmers,15-1131,less hs,0.5,2010
Computer programmers,15-1131,high school,4.7,2010
Computer programmers,15-1131,"some college, no degree",13.8,2010
Computer programmers,15-1131,associate,8.8,2010
Computer programmers,15-1131,bachelor,50.4,2010
Computer programmers,15-1131,master,19.1,2010
Computer programmers,15-1131,doctor/professional,2.7,2010
"Software developers, applications",15-1132,less hs,0.2,2010
"Software developers, applications",15-1132,high school,2.5,2010
"Software developers, applications",15-1132,"some college, no degree",8.5,2010
"Software developers, applications",15-1132,associate,5.1,2010
"Software developers, applications",15-1132,bachelor,50.3,2010
"Software developers, applications",15-1132,master,29.6,2010
"Software developers, applications",15-1132,doctor/professional,3.8,2010
"Software developers, systems software",15-1133,less hs,0.2,2010
"Software developers, systems software",15-1133,high school,2.5,2010
"Software developers, systems software",15-1133,"some college, no degree",8.5,2010
"Software developers, systems software",15-1133,associate,5.1,2010
"Software developers, systems software",15-1133,bachelor,50.3,2010
"Software developers, systems software",15-1133,master,29.6,2010
"Software developers, systems software",15-1133,doctor/professional,3.8,2010
Web developers,15-1134,less hs,0.5,2010
Web developers,15-1134,high school,4.5,2010
Web developers,15-1134,"some college, no degree",17.6,2010
Web developers,15-1134,associate,8.1,2010
Web developers,15-1134,bachelor,53.7,2010
Web developers,15-1134,master,14.2,2010
Web developers,15-1134,doctor/professional,1.5,2010
Database administrators,15-1141,less hs,0.5,2010
Database administrators,15-1141,high school,6,2010
Database administrators,15-1141,"some college, no degree",15.7,2010
Database administrators,15-1141,associate,9.3,2010
Database administrators,15-1141,bachelor,47.4,2010
Database administrators,15-1141,master,18.5,2010
Database administrators,15-1141,doctor/professional,2.6,2010
Network and computer systems administrators,15-1142,less hs,0.9,2010
Network and computer systems administrators,15-1142,high school,6.5,2010
Network and computer systems administrators,15-1142,"some college, no degree",26.6,2010
Network and computer systems administrators,15-1142,associate,15.4,2010
Network and computer systems administrators,15-1142,bachelor,38.9,2010
Network and computer systems administrators,15-1142,master,10.5,2010
Network and computer systems administrators,15-1142,doctor/professional,1.2,2010
Computer network architects,15-1143,less hs,0.5,2010
Computer network architects,15-1143,high school,4.7,2010
Computer network architects,15-1143,"some college, no degree",22,2010
Computer network architects,15-1143,associate,13.5,2010
Computer network architects,15-1143,bachelor,43.9,2010
Computer network architects,15-1143,master,13.6,2010
Computer network architects,15-1143,doctor/professional,1.7,2010
Computer user support specialists,15-1151,less hs,0.7,2010
Computer user support specialists,15-1151,high school,10.8,2010
Computer user support specialists,15-1151,"some college, no degree",28.3,2010
Computer user support specialists,15-1151,associate,17,2010
Computer user support specialists,15-1151,bachelor,34.6,2010
Computer user support specialists,15-1151,master,7.7,2010
Computer user support specialists,15-1151,doctor/professional,0.8,2010
Computer network support specialists,15-1152,less hs,0.7,2010
Computer network support specialists,15-1152,high school,10.8,2010
Computer network support specialists,15-1152,"some college, no degree",28.3,2010
Computer network support specialists,15-1152,associate,17,2010
Computer network support specialists,15-1152,bachelor,34.6,2010
Computer network support specialists,15-1152,master,7.7,2010
Computer network support specialists,15-1152,doctor/professional,0.8,2010
"Computer occupations, all other",15-1199,less hs,0.8,2010
"Computer occupations, all other",15-1199,high school,9.4,2010
"Computer occupations, all other",15-1199,"some college, no degree",23.6,2010
"Computer occupations, all other",15-1199,associate,14.9,2010
"Computer occupations, all other",15-1199,bachelor,37.4,2010
"Computer occupations, all other",15-1199,master,12.8,2010
"Computer occupations, all other",15-1199,doctor/professional,1.1,2010
Actuaries,15-2011,less hs,0,2010
Actuaries,15-2011,high school,0,2010
Actuaries,15-2011,"some college, no degree",0.5,2010
Actuaries,15-2011,associate,0.4,2010
Actuaries,15-2011,bachelor,59.8,2010
Actuaries,15-2011,master,25.9,2010
Actuaries,15-2011,doctor/professional,13.5,2010
Mathematicians,15-2021,less hs,0.4,2010
Mathematicians,15-2021,high school,0.4,2010
Mathematicians,15-2021,"some college, no degree",7,2010
Mathematicians,15-2021,associate,2.8,2010
Mathematicians,15-2021,bachelor,34.3,2010
Mathematicians,15-2021,master,35.1,2010
Mathematicians,15-2021,doctor/professional,20,2010
Operations research analysts,15-2031,less hs,0.2,2010
Operations research analysts,15-2031,high school,5.6,2010
Operations research analysts,15-2031,"some college, no degree",15.5,2010
Operations research analysts,15-2031,associate,8.2,2010
Operations research analysts,15-2031,bachelor,39.2,2010
Operations research analysts,15-2031,master,26.6,2010
Operations research analysts,15-2031,doctor/professional,4.6,2010
Statisticians,15-2041,less hs,0.4,2010
Statisticians,15-2041,high school,0.4,2010
Statisticians,15-2041,"some college, no degree",7,2010
Statisticians,15-2041,associate,2.8,2010
Statisticians,15-2041,bachelor,34.3,2010
Statisticians,15-2041,master,35.1,2010
Statisticians,15-2041,doctor/professional,20,2010
Mathematical technicians,15-2091,less hs,0.4,2010
Mathematical technicians,15-2091,high school,0.4,2010
Mathematical technicians,15-2091,"some college, no degree",7,2010
Mathematical technicians,15-2091,associate,2.8,2010
Mathematical technicians,15-2091,bachelor,34.3,2010
Mathematical technicians,15-2091,master,35.1,2010
Mathematical technicians,15-2091,doctor/professional,20,2010
"Mathematical science occupations, all other",15-2099,less hs,0.4,2010
"Mathematical science occupations, all other",15-2099,high school,0.4,2010
"Mathematical science occupations, all other",15-2099,"some college, no degree",7,2010
"Mathematical science occupations, all other",15-2099,associate,2.8,2010
"Mathematical science occupations, all other",15-2099,bachelor,34.3,2010
"Mathematical science occupations, all other",15-2099,master,35.1,2010
"Mathematical science occupations, all other",15-2099,doctor/professional,20,2010
"Architects, except landscape and naval",17-1011,less hs,0,2010
"Architects, except landscape and naval",17-1011,high school,1.6,2010
"Architects, except landscape and naval",17-1011,"some college, no degree",4.8,2010
"Architects, except landscape and naval",17-1011,associate,4,2010
"Architects, except landscape and naval",17-1011,bachelor,52.4,2010
"Architects, except landscape and naval",17-1011,master,30,2010
"Architects, except landscape and naval",17-1011,doctor/professional,7.2,2010
Landscape architects,17-1012,less hs,0,2010
Landscape architects,17-1012,high school,1.6,2010
Landscape architects,17-1012,"some college, no degree",4.8,2010
Landscape architects,17-1012,associate,4,2010
Landscape architects,17-1012,bachelor,52.4,2010
Landscape architects,17-1012,master,30,2010
Landscape architects,17-1012,doctor/professional,7.2,2010
Cartographers and photogrammetrists,17-1021,less hs,0,2010
Cartographers and photogrammetrists,17-1021,high school,0.3,2010
Cartographers and photogrammetrists,17-1021,"some college, no degree",11.2,2010
Cartographers and photogrammetrists,17-1021,associate,7.9,2010
Cartographers and photogrammetrists,17-1021,bachelor,65.1,2010
Cartographers and photogrammetrists,17-1021,master,12.9,2010
Cartographers and photogrammetrists,17-1021,doctor/professional,2.6,2010
Surveyors,17-1022,less hs,0,2010
Surveyors,17-1022,high school,0.3,2010
Surveyors,17-1022,"some college, no degree",11.2,2010
Surveyors,17-1022,associate,7.9,2010
Surveyors,17-1022,bachelor,65.1,2010
Surveyors,17-1022,master,12.9,2010
Surveyors,17-1022,doctor/professional,2.6,2010
Aerospace engineers,17-2011,less hs,0.1,2010
Aerospace engineers,17-2011,high school,2.2,2010
Aerospace engineers,17-2011,"some college, no degree",7.4,2010
Aerospace engineers,17-2011,associate,5.4,2010
Aerospace engineers,17-2011,bachelor,47.9,2010
Aerospace engineers,17-2011,master,31.8,2010
Aerospace engineers,17-2011,doctor/professional,5.1,2010
Agricultural engineers,17-2021,less hs,0,2010
Agricultural engineers,17-2021,high school,1.3,2010
Agricultural engineers,17-2021,"some college, no degree",6,2010
Agricultural engineers,17-2021,associate,15.2,2010
Agricultural engineers,17-2021,bachelor,38.3,2010
Agricultural engineers,17-2021,master,26.4,2010
Agricultural engineers,17-2021,doctor/professional,12.8,2010
Biomedical engineers,17-2031,less hs,0,2010
Biomedical engineers,17-2031,high school,1.3,2010
Biomedical engineers,17-2031,"some college, no degree",6,2010
Biomedical engineers,17-2031,associate,15.2,2010
Biomedical engineers,17-2031,bachelor,38.3,2010
Biomedical engineers,17-2031,master,26.4,2010
Biomedical engineers,17-2031,doctor/professional,12.8,2010
Chemical engineers,17-2041,less hs,0,2010
Chemical engineers,17-2041,high school,3,2010
Chemical engineers,17-2041,"some college, no degree",4.6,2010
Chemical engineers,17-2041,associate,3.9,2010
Chemical engineers,17-2041,bachelor,55.3,2010
Chemical engineers,17-2041,master,23.4,2010
Chemical engineers,17-2041,doctor/professional,9.8,2010
Civil engineers,17-2051,less hs,0.1,2010
Civil engineers,17-2051,high school,2.8,2010
Civil engineers,17-2051,"some college, no degree",7.1,2010
Civil engineers,17-2051,associate,4.7,2010
Civil engineers,17-2051,bachelor,58.1,2010
Civil engineers,17-2051,master,23.6,2010
Civil engineers,17-2051,doctor/professional,3.6,2010
Computer hardware engineers,17-2061,less hs,0,2010
Computer hardware engineers,17-2061,high school,5,2010
Computer hardware engineers,17-2061,"some college, no degree",13.1,2010
Computer hardware engineers,17-2061,associate,9.7,2010
Computer hardware engineers,17-2061,bachelor,44.7,2010
Computer hardware engineers,17-2061,master,24.1,2010
Computer hardware engineers,17-2061,doctor/professional,3.4,2010
Electrical engineers,17-2071,less hs,0.1,2010
Electrical engineers,17-2071,high school,3.3,2010
Electrical engineers,17-2071,"some college, no degree",8.5,2010
Electrical engineers,17-2071,associate,9.1,2010
Electrical engineers,17-2071,bachelor,48.6,2010
Electrical engineers,17-2071,master,25.3,2010
Electrical engineers,17-2071,doctor/professional,5.2,2010
"Electronics engineers, except computer",17-2072,less hs,0.1,2010
"Electronics engineers, except computer",17-2072,high school,3.3,2010
"Electronics engineers, except computer",17-2072,"some college, no degree",8.5,2010
"Electronics engineers, except computer",17-2072,associate,9.1,2010
"Electronics engineers, except computer",17-2072,bachelor,48.6,2010
"Electronics engineers, except computer",17-2072,master,25.3,2010
"Electronics engineers, except computer",17-2072,doctor/professional,5.2,2010
Environmental engineers,17-2081,less hs,0.2,2010
Environmental engineers,17-2081,high school,3.9,2010
Environmental engineers,17-2081,"some college, no degree",3.9,2010
Environmental engineers,17-2081,associate,4.2,2010
Environmental engineers,17-2081,bachelor,47.4,2010
Environmental engineers,17-2081,master,35.5,2010
Environmental engineers,17-2081,doctor/professional,5,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,less hs,0.2,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,high school,5.1,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,"some college, no degree",13.3,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,associate,9.4,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,bachelor,50.4,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,master,19.4,2010
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,doctor/professional,2.1,2010
Industrial engineers,17-2112,less hs,0.2,2010
Industrial engineers,17-2112,high school,5.1,2010
Industrial engineers,17-2112,"some college, no degree",13.3,2010
Industrial engineers,17-2112,associate,9.4,2010
Industrial engineers,17-2112,bachelor,50.4,2010
Industrial engineers,17-2112,master,19.4,2010
Industrial engineers,17-2112,doctor/professional,2.1,2010
Marine engineers and naval architects,17-2121,less hs,0,2010
Marine engineers and naval architects,17-2121,high school,9.9,2010
Marine engineers and naval architects,17-2121,"some college, no degree",11.9,2010
Marine engineers and naval architects,17-2121,associate,9.1,2010
Marine engineers and naval architects,17-2121,bachelor,47.2,2010
Marine engineers and naval architects,17-2121,master,19.3,2010
Marine engineers and naval architects,17-2121,doctor/professional,2.6,2010
Materials engineers,17-2131,less hs,0,2010
Materials engineers,17-2131,high school,6.5,2010
Materials engineers,17-2131,"some college, no degree",9.6,2010
Materials engineers,17-2131,associate,8.6,2010
Materials engineers,17-2131,bachelor,49.6,2010
Materials engineers,17-2131,master,19.8,2010
Materials engineers,17-2131,doctor/professional,6,2010
Mechanical engineers,17-2141,less hs,0.1,2010
Mechanical engineers,17-2141,high school,4.7,2010
Mechanical engineers,17-2141,"some college, no degree",9.4,2010
Mechanical engineers,17-2141,associate,11.4,2010
Mechanical engineers,17-2141,bachelor,51.6,2010
Mechanical engineers,17-2141,master,19.9,2010
Mechanical engineers,17-2141,doctor/professional,2.9,2010
"Mining and geological engineers, including mining safety engineers",17-2151,less hs,0.2,2010
"Mining and geological engineers, including mining safety engineers",17-2151,high school,3.1,2010
"Mining and geological engineers, including mining safety engineers",17-2151,"some college, no degree",8.8,2010
"Mining and geological engineers, including mining safety engineers",17-2151,associate,4.7,2010
"Mining and geological engineers, including mining safety engineers",17-2151,bachelor,58.6,2010
"Mining and geological engineers, including mining safety engineers",17-2151,master,20.2,2010
"Mining and geological engineers, including mining safety engineers",17-2151,doctor/professional,4.3,2010
Nuclear engineers,17-2161,less hs,0.1,2010
Nuclear engineers,17-2161,high school,3.3,2010
Nuclear engineers,17-2161,"some college, no degree",8,2010
Nuclear engineers,17-2161,associate,6.6,2010
Nuclear engineers,17-2161,bachelor,48.5,2010
Nuclear engineers,17-2161,master,26.2,2010
Nuclear engineers,17-2161,doctor/professional,7.3,2010
Petroleum engineers,17-2171,less hs,0.2,2010
Petroleum engineers,17-2171,high school,3.1,2010
Petroleum engineers,17-2171,"some college, no degree",8.8,2010
Petroleum engineers,17-2171,associate,4.7,2010
Petroleum engineers,17-2171,bachelor,58.6,2010
Petroleum engineers,17-2171,master,20.2,2010
Petroleum engineers,17-2171,doctor/professional,4.3,2010
"Engineers, all other",17-2199,less hs,0.1,2010
"Engineers, all other",17-2199,high school,3.3,2010
"Engineers, all other",17-2199,"some college, no degree",8,2010
"Engineers, all other",17-2199,associate,6.6,2010
"Engineers, all other",17-2199,bachelor,48.5,2010
"Engineers, all other",17-2199,master,26.2,2010
"Engineers, all other",17-2199,doctor/professional,7.3,2010
Architectural and civil drafters,17-3011,less hs,1.4,2010
Architectural and civil drafters,17-3011,high school,11.7,2010
Architectural and civil drafters,17-3011,"some college, no degree",27.8,2010
Architectural and civil drafters,17-3011,associate,31.6,2010
Architectural and civil drafters,17-3011,bachelor,23.1,2010
Architectural and civil drafters,17-3011,master,3.9,2010
Architectural and civil drafters,17-3011,doctor/professional,0.5,2010
Electrical and electronics drafters,17-3012,less hs,1.4,2010
Electrical and electronics drafters,17-3012,high school,11.7,2010
Electrical and electronics drafters,17-3012,"some college, no degree",27.8,2010
Electrical and electronics drafters,17-3012,associate,31.6,2010
Electrical and electronics drafters,17-3012,bachelor,23.1,2010
Electrical and electronics drafters,17-3012,master,3.9,2010
Electrical and electronics drafters,17-3012,doctor/professional,0.5,2010
Mechanical drafters,17-3013,less hs,1.4,2010
Mechanical drafters,17-3013,high school,11.7,2010
Mechanical drafters,17-3013,"some college, no degree",27.8,2010
Mechanical drafters,17-3013,associate,31.6,2010
Mechanical drafters,17-3013,bachelor,23.1,2010
Mechanical drafters,17-3013,master,3.9,2010
Mechanical drafters,17-3013,doctor/professional,0.5,2010
"Drafters, all other",17-3019,less hs,1.4,2010
"Drafters, all other",17-3019,high school,11.7,2010
"Drafters, all other",17-3019,"some college, no degree",27.8,2010
"Drafters, all other",17-3019,associate,31.6,2010
"Drafters, all other",17-3019,bachelor,23.1,2010
"Drafters, all other",17-3019,master,3.9,2010
"Drafters, all other",17-3019,doctor/professional,0.5,2010
Aerospace engineering and operations technicians,17-3021,less hs,3.5,2010
Aerospace engineering and operations technicians,17-3021,high school,23.3,2010
Aerospace engineering and operations technicians,17-3021,"some college, no degree",33.1,2010
Aerospace engineering and operations technicians,17-3021,associate,22.6,2010
Aerospace engineering and operations technicians,17-3021,bachelor,14.5,2010
Aerospace engineering and operations technicians,17-3021,master,2.3,2010
Aerospace engineering and operations technicians,17-3021,doctor/professional,0.6,2010
Civil engineering technicians,17-3022,less hs,3.5,2010
Civil engineering technicians,17-3022,high school,23.3,2010
Civil engineering technicians,17-3022,"some college, no degree",33.1,2010
Civil engineering technicians,17-3022,associate,22.6,2010
Civil engineering technicians,17-3022,bachelor,14.5,2010
Civil engineering technicians,17-3022,master,2.3,2010
Civil engineering technicians,17-3022,doctor/professional,0.6,2010
Electrical and electronics engineering technicians,17-3023,less hs,3.5,2010
Electrical and electronics engineering technicians,17-3023,high school,23.3,2010
Electrical and electronics engineering technicians,17-3023,"some college, no degree",33.1,2010
Electrical and electronics engineering technicians,17-3023,associate,22.6,2010
Electrical and electronics engineering technicians,17-3023,bachelor,14.5,2010
Electrical and electronics engineering technicians,17-3023,master,2.3,2010
Electrical and electronics engineering technicians,17-3023,doctor/professional,0.6,2010
Electro-mechanical technicians,17-3024,less hs,3.5,2010
Electro-mechanical technicians,17-3024,high school,23.3,2010
Electro-mechanical technicians,17-3024,"some college, no degree",33.1,2010
Electro-mechanical technicians,17-3024,associate,22.6,2010
Electro-mechanical technicians,17-3024,bachelor,14.5,2010
Electro-mechanical technicians,17-3024,master,2.3,2010
Electro-mechanical technicians,17-3024,doctor/professional,0.6,2010
Environmental engineering technicians,17-3025,less hs,3.5,2010
Environmental engineering technicians,17-3025,high school,23.3,2010
Environmental engineering technicians,17-3025,"some college, no degree",33.1,2010
Environmental engineering technicians,17-3025,associate,22.6,2010
Environmental engineering technicians,17-3025,bachelor,14.5,2010
Environmental engineering technicians,17-3025,master,2.3,2010
Environmental engineering technicians,17-3025,doctor/professional,0.6,2010
Industrial engineering technicians,17-3026,less hs,3.5,2010
Industrial engineering technicians,17-3026,high school,23.3,2010
Industrial engineering technicians,17-3026,"some college, no degree",33.1,2010
Industrial engineering technicians,17-3026,associate,22.6,2010
Industrial engineering technicians,17-3026,bachelor,14.5,2010
Industrial engineering technicians,17-3026,master,2.3,2010
Industrial engineering technicians,17-3026,doctor/professional,0.6,2010
Mechanical engineering technicians,17-3027,less hs,3.5,2010
Mechanical engineering technicians,17-3027,high school,23.3,2010
Mechanical engineering technicians,17-3027,"some college, no degree",33.1,2010
Mechanical engineering technicians,17-3027,associate,22.6,2010
Mechanical engineering technicians,17-3027,bachelor,14.5,2010
Mechanical engineering technicians,17-3027,master,2.3,2010
Mechanical engineering technicians,17-3027,doctor/professional,0.6,2010
"Engineering technicians, except drafters, all other",17-3029,less hs,3.5,2010
"Engineering technicians, except drafters, all other",17-3029,high school,23.3,2010
"Engineering technicians, except drafters, all other",17-3029,"some college, no degree",33.1,2010
"Engineering technicians, except drafters, all other",17-3029,associate,22.6,2010
"Engineering technicians, except drafters, all other",17-3029,bachelor,14.5,2010
"Engineering technicians, except drafters, all other",17-3029,master,2.3,2010
"Engineering technicians, except drafters, all other",17-3029,doctor/professional,0.6,2010
Surveying and mapping technicians,17-3031,less hs,4.3,2010
Surveying and mapping technicians,17-3031,high school,26.8,2010
Surveying and mapping technicians,17-3031,"some college, no degree",36.8,2010
Surveying and mapping technicians,17-3031,associate,21,2010
Surveying and mapping technicians,17-3031,bachelor,9.6,2010
Surveying and mapping technicians,17-3031,master,1.2,2010
Surveying and mapping technicians,17-3031,doctor/professional,0.3,2010
Animal scientists,19-1011,less hs,0,2010
Animal scientists,19-1011,high school,0,2010
Animal scientists,19-1011,"some college, no degree",11.4,2010
Animal scientists,19-1011,associate,7.7,2010
Animal scientists,19-1011,bachelor,42.9,2010
Animal scientists,19-1011,master,19.7,2010
Animal scientists,19-1011,doctor/professional,18.3,2010
Food scientists and technologists,19-1012,less hs,0,2010
Food scientists and technologists,19-1012,high school,0,2010
Food scientists and technologists,19-1012,"some college, no degree",11.4,2010
Food scientists and technologists,19-1012,associate,7.7,2010
Food scientists and technologists,19-1012,bachelor,42.9,2010
Food scientists and technologists,19-1012,master,19.7,2010
Food scientists and technologists,19-1012,doctor/professional,18.3,2010
Soil and plant scientists,19-1013,less hs,0,2010
Soil and plant scientists,19-1013,high school,0,2010
Soil and plant scientists,19-1013,"some college, no degree",11.4,2010
Soil and plant scientists,19-1013,associate,7.7,2010
Soil and plant scientists,19-1013,bachelor,42.9,2010
Soil and plant scientists,19-1013,master,19.7,2010
Soil and plant scientists,19-1013,doctor/professional,18.3,2010
Biochemists and biophysicists,19-1021,less hs,0.1,2010
Biochemists and biophysicists,19-1021,high school,0.1,2010
Biochemists and biophysicists,19-1021,"some college, no degree",1.2,2010
Biochemists and biophysicists,19-1021,associate,2.5,2010
Biochemists and biophysicists,19-1021,bachelor,46.5,2010
Biochemists and biophysicists,19-1021,master,27.6,2010
Biochemists and biophysicists,19-1021,doctor/professional,22,2010
Microbiologists,19-1022,less hs,0.1,2010
Microbiologists,19-1022,high school,0.1,2010
Microbiologists,19-1022,"some college, no degree",1.2,2010
Microbiologists,19-1022,associate,2.5,2010
Microbiologists,19-1022,bachelor,46.5,2010
Microbiologists,19-1022,master,27.6,2010
Microbiologists,19-1022,doctor/professional,22,2010
Zoologists and wildlife biologists,19-1023,less hs,0.1,2010
Zoologists and wildlife biologists,19-1023,high school,0.1,2010
Zoologists and wildlife biologists,19-1023,"some college, no degree",1.2,2010
Zoologists and wildlife biologists,19-1023,associate,2.5,2010
Zoologists and wildlife biologists,19-1023,bachelor,46.5,2010
Zoologists and wildlife biologists,19-1023,master,27.6,2010
Zoologists and wildlife biologists,19-1023,doctor/professional,22,2010
"Biological scientists, all other",19-1029,less hs,0.1,2010
"Biological scientists, all other",19-1029,high school,0.1,2010
"Biological scientists, all other",19-1029,"some college, no degree",1.2,2010
"Biological scientists, all other",19-1029,associate,2.5,2010
"Biological scientists, all other",19-1029,bachelor,46.5,2010
"Biological scientists, all other",19-1029,master,27.6,2010
"Biological scientists, all other",19-1029,doctor/professional,22,2010
Conservation scientists,19-1031,less hs,0,2010
Conservation scientists,19-1031,high school,0,2010
Conservation scientists,19-1031,"some college, no degree",9,2010
Conservation scientists,19-1031,associate,4.4,2010
Conservation scientists,19-1031,bachelor,65.2,2010
Conservation scientists,19-1031,master,16.1,2010
Conservation scientists,19-1031,doctor/professional,5.3,2010
Foresters,19-1032,less hs,0,2010
Foresters,19-1032,high school,0,2010
Foresters,19-1032,"some college, no degree",9,2010
Foresters,19-1032,associate,4.4,2010
Foresters,19-1032,bachelor,65.2,2010
Foresters,19-1032,master,16.1,2010
Foresters,19-1032,doctor/professional,5.3,2010
Epidemiologists,19-1041,less hs,0,2010
Epidemiologists,19-1041,high school,0.1,2010
Epidemiologists,19-1041,"some college, no degree",0.5,2010
Epidemiologists,19-1041,associate,0.9,2010
Epidemiologists,19-1041,bachelor,6.6,2010
Epidemiologists,19-1041,master,29.4,2010
Epidemiologists,19-1041,doctor/professional,62.5,2010
"Medical scientists, except epidemiologists",19-1042,less hs,0,2010
"Medical scientists, except epidemiologists",19-1042,high school,0.1,2010
"Medical scientists, except epidemiologists",19-1042,"some college, no degree",0.5,2010
"Medical scientists, except epidemiologists",19-1042,associate,0.9,2010
"Medical scientists, except epidemiologists",19-1042,bachelor,6.6,2010
"Medical scientists, except epidemiologists",19-1042,master,29.4,2010
"Medical scientists, except epidemiologists",19-1042,doctor/professional,62.5,2010
"Life scientists, all other",19-1099,less hs,0,2010
"Life scientists, all other",19-1099,high school,0.1,2010
"Life scientists, all other",19-1099,"some college, no degree",0.5,2010
"Life scientists, all other",19-1099,associate,0.9,2010
"Life scientists, all other",19-1099,bachelor,6.6,2010
"Life scientists, all other",19-1099,master,29.4,2010
"Life scientists, all other",19-1099,doctor/professional,62.5,2010
Astronomers,19-2011,less hs,1,2010
Astronomers,19-2011,high school,0,2010
Astronomers,19-2011,"some college, no degree",5.4,2010
Astronomers,19-2011,associate,0.6,2010
Astronomers,19-2011,bachelor,13.8,2010
Astronomers,19-2011,master,28.2,2010
Astronomers,19-2011,doctor/professional,51,2010
Physicists,19-2012,less hs,1,2010
Physicists,19-2012,high school,0,2010
Physicists,19-2012,"some college, no degree",5.4,2010
Physicists,19-2012,associate,0.6,2010
Physicists,19-2012,bachelor,13.8,2010
Physicists,19-2012,master,28.2,2010
Physicists,19-2012,doctor/professional,51,2010
Atmospheric and space scientists,19-2021,less hs,0,2010
Atmospheric and space scientists,19-2021,high school,0,2010
Atmospheric and space scientists,19-2021,"some college, no degree",6.3,2010
Atmospheric and space scientists,19-2021,associate,2.9,2010
Atmospheric and space scientists,19-2021,bachelor,46.8,2010
Atmospheric and space scientists,19-2021,master,28.4,2010
Atmospheric and space scientists,19-2021,doctor/professional,15.6,2010
Chemists,19-2031,less hs,0.1,2010
Chemists,19-2031,high school,0,2010
Chemists,19-2031,"some college, no degree",4,2010
Chemists,19-2031,associate,2.9,2010
Chemists,19-2031,bachelor,53.6,2010
Chemists,19-2031,master,19,2010
Chemists,19-2031,doctor/professional,20.5,2010
Materials scientists,19-2032,less hs,0.1,2010
Materials scientists,19-2032,high school,0,2010
Materials scientists,19-2032,"some college, no degree",4,2010
Materials scientists,19-2032,associate,2.9,2010
Materials scientists,19-2032,bachelor,53.6,2010
Materials scientists,19-2032,master,19,2010
Materials scientists,19-2032,doctor/professional,20.5,2010
"Environmental scientists and specialists, including health",19-2041,less hs,0.1,2010
